"ID","Continent","LocX","LocY","LocZ","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask"
"1","0","-9115","423","96","Stormwind","Stormwind","Hurlevent","Sturmwind","","","Ventormenta","Ventormenta","Штормград","","","","","","","","16712190"
"2","0","-9194","-2313","88","Redridge Mountains","Redridge Mountains","Les Carmines","Rotkammgebirge","","","Montañas Crestagrana","Montañas Crestagrana","Красногорье","","","","","","","","16712190"
"3","0","-10774","-1189","33","Duskwood, Darkshire","Duskwood, Darkshire","Bois de la Pénombre, Sombre-comté","Dämmerwald, Dunkelhain","","","Bosque del Ocaso, Villa Oscura","Bosque del Ocaso, Villa Oscura","Сумеречный лес, Темнолесье","","","","","","","","16712190"
"4","0","-10546","1197","31","Westfall, Sentinel Hill","Westfall, Sentinel Hill","Marche de l'Ouest, Colline des sentinelles","Westfall, Späherkuppe","","","Páramos de Poniente, Colina del Centinela","Páramos de Poniente, Colina del Centinela","Западный Край, Сторожевой холм","","","","","","","","16712190"
"5","0","-5687","-515","398","Dun Morogh","Dun Morogh","Dun Morogh","Dun Morogh","","","Dun Morogh","Dun Morogh","Дун Морог","","","","","","","","16712190"
"6","0","-5351","-2881","340","Loch Modan, Thelsamar","Loch Modan, Thelsamar","Loch Modan, Thelsamar","Loch Modan, Thelsamar","","","Loch Modan, Thelsamar","Loch Modan, Thelsamar","Лок Модан, Телcамар","","","","","","","","16712190"
"7","0","-3289","-2435","18","Wetlands, Crossroads","Wetlands, Crossroads","Les Paluns, la Croisée","Sumpfland, das Wegekreuz","","","Los Humedales, Cruce","Los Humedales, Cruce","Болотина, Перекресток","","","","","","","","16712190"
"8","0","-6289","-3493","251","Badlands, Graveyard NE ","Badlands, Graveyard NE ","Terres ingrates, cimetière NE","Ödland, Friedhof NE","","","Tierras Inhóspitas, cementerio NE","Tierras Inhóspitas, cementerio NE","Бесплодные земли, Северо-восточное кладбище","","","","","","","","16712190"
"10","1","-592","-2523","91","The Barrens, The Crossroads","The Barrens, The Crossroads","Tarides, La Croisée","Brachland, das Wegekreuz","","","Los Baldíos, El Cruce","Los Baldíos, El Cruce","Степи, Перекресток","","","","","","","","16712190"
"31","1","-448","2512","93","Desolace, Ethel Rethor","Desolace, Ethel Rethor","Désolace, Ethel Rethor","Desolace, Ethel Rethor","","","Desolace, Ethel Rethor","Desolace, Ethel Rethor","Пустоши, Этель-Ретор","","","","","","","","16712190"
