"ID","MapID_1","MapID_2","MapID_3","MapID_4","MapID_5","MapID_6","MapID_7","MapID_8","InstanceType","GroupsAllowed","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","MaxGroupSize","HolidayWorldState","Minlevel","Maxlevel"
"1","30","-1","-1","-1","-1","-1","-1","-1","3","1","Alterac Valley","","","","","","","","","","","","","","","","16712190","5","1941","51","80"
"2","489","-1","-1","-1","-1","-1","-1","-1","3","1","Warsong Gulch","","","","","","","","","","","","","","","","16712190","10","1942","10","80"
"3","529","-1","-1","-1","-1","-1","-1","-1","3","1","Arathi Basin","","","","","","","","","","","","","","","","16712190","15","1943","20","80"
"4","559","-1","-1","-1","-1","-1","-1","-1","4","1","Nagrand Arena","","","","","","","","","","","","","","","","16712190","5","0","10","80"
"5","562","-1","-1","-1","-1","-1","-1","-1","4","1","Blade's Edge Arena","","","","","","","","","","","","","","","","16712190","5","0","10","80"
"6","559","562","572","617","618","-1","-1","-1","4","1","All Arenas","","","","","","","","","","","","","","","","16712190","5","0","10","80"
"7","566","-1","-1","-1","-1","-1","-1","-1","3","1","Eye of the Storm","","","","","","","","","","","","","","","","16712190","15","2851","61","80"
"8","572","-1","-1","-1","-1","-1","-1","-1","4","1","Ruins of Lordaeron","","","","","","","","","","","","","","","","16712190","5","0","10","80"
"9","607","-1","-1","-1","-1","-1","-1","-1","3","1","Strand of the Ancients","","","","","","","","","","","","","","","","16712190","15","3695","71","80"
"10","617","-1","-1","-1","-1","-1","-1","-1","4","1","Dalaran Sewers","","","","","","","","","","","","","","","","16712190","5","0","10","80"
"11","618","-1","-1","-1","-1","-1","-1","-1","4","1","The Ring of Valor","","","","","","","","","","","","","","","","16712190","5","0","10","80"
"30","628","-1","-1","-1","-1","-1","-1","-1","3","1","Isle of Conquest","","","","","","","","","","","","","","","","16712190","5","4273","71","80"
"32","30","489","529","566","607","628","-1","-1","3","1","Random Battleground","","","","","","","","","","","","","","","","16712190","5","0","0","0"
