"ShopID","CollectionType","CollectionTypeName","EntryID","ItemID","SpellID","AppearanceID","DisplayID","CreatureID","MountType","Rarity","PriceTokens","PriceEmblems","DiscountPercent","Featured","Enabled","StockRemaining","AvailableFrom","AvailableUntil","Name","Icon","SourceType","SourceName","SourceText"
"1","1","mount","300700","0","300700","0","500001","3461001","1","4","500","500","0","0","1","-1","","","Dreamowl Firemount","","vendor","Skeletal Stablemaster",""
"2","1","mount","300701","0","300701","0","500004","3461004","0","4","500","500","0","0","1","-1","","","Felblaze Infernal","","vendor","Skeletal Stablemaster",""
"3","1","mount","300702","0","300702","0","500005","3461005","1","4","500","500","0","0","1","-1","","","Netherwing Mount","","vendor","Skeletal Stablemaster",""
"4","1","mount","300703","0","300703","0","500009","3461009","0","4","500","500","0","0","1","-1","","","Coldflame Infernal","","vendor","Skeletal Stablemaster",""
"5","1","mount","300704","0","300704","0","500010","3461010","0","4","500","500","0","0","1","-1","","","Flarecore Infernal","","vendor","Skeletal Stablemaster",""
"6","1","mount","300705","0","300705","0","500011","3461011","0","4","500","500","0","0","1","-1","","","Frostshard Infernal","","vendor","Skeletal Stablemaster",""
"7","1","mount","300706","0","300706","0","500012","3461012","0","4","500","500","0","0","1","-1","","","Hellfire Infernal","","vendor","Skeletal Stablemaster",""
"8","1","mount","300707","0","300707","0","500007","3461007","0","4","500","500","0","0","1","-1","","","Black Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"9","1","mount","300720","0","300720","0","500013","3461013","0","4","500","500","0","0","1","-1","","","Brown Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"10","1","mount","300721","0","300721","0","500014","3461014","0","4","500","500","0","0","1","-1","","","Green Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"11","1","mount","300722","0","300722","0","500015","3461015","0","4","500","500","0","0","1","-1","","","Midnight Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"12","1","mount","300723","0","300723","0","500016","3461016","0","4","500","500","0","0","1","-1","","","Purple Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"13","1","mount","300724","0","300724","0","500017","3461017","0","4","500","500","0","0","1","-1","","","Red Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"14","1","mount","300725","0","300725","0","500018","3461018","0","4","500","500","0","0","1","-1","","","White Skeletal Warhorse II","","vendor","Skeletal Stablemaster",""
"15","1","mount","300726","0","300726","0","500176","3461176","0","4","500","500","0","0","1","-1","","","Camel Mount","","vendor","Skeletal Stablemaster",""
"16","1","mount","300727","0","300727","0","500181","3461181","1","4","500","500","0","0","1","-1","","","Chimera Firemount Yellow","","vendor","Skeletal Stablemaster",""
"17","1","mount","300728","0","300728","0","500182","3461182","1","4","500","500","0","0","1","-1","","","Chimera Firemount Blue","","vendor","Skeletal Stablemaster",""
"18","1","mount","300729","0","300729","0","500183","3461183","1","4","500","500","0","0","1","-1","","","Chimera Firemount Green","","vendor","Skeletal Stablemaster",""
"19","1","mount","300730","0","300730","0","500184","3461184","1","4","500","500","0","0","1","-1","","","Chimera Firemount Red","","vendor","Skeletal Stablemaster",""
"20","1","mount","300731","0","300731","0","500185","3461185","0","4","500","500","0","0","1","-1","","","Crocsun Mount","","vendor","Skeletal Stablemaster",""
"21","1","mount","300732","0","300732","0","500186","3461186","0","4","500","500","0","0","1","-1","","","Geargrinder Mount","","vendor","Skeletal Stablemaster",""
"22","1","mount","300733","0","300733","0","500187","3461187","1","4","500","500","0","0","1","-1","","","Giant Eagle Hexmount","","vendor","Skeletal Stablemaster",""
"23","1","mount","300734","0","300734","0","500188","3461188","1","4","500","500","0","0","1","-1","","","Fel Stormcrow Mount","","vendor","Skeletal Stablemaster",""
