"ID","CollectionType","EntryID","CategoryID","SortOrder","Flags","Rarity","ItemID","SpellID","DisplayID","CreatureID","MountType","SourceObjectID","SourceValue","Name","Icon","SourceType","SourceName","SourceText"
"1","1","458","2","1","0","3","0","458","13108","0","0","0","0","Brown Horse Bridle","","vendor","Gregor MacVince (Cost: 10000)",""
"2","1","470","2","2","0","3","0","470","13108","0","0","0","0","Black Stallion Bridle","","vendor","Mounts (Cost: 10000)",""
"3","1","472","2","3","0","3","0","472","13108","0","0","0","0","Pinto Bridle","","vendor","Gregor MacVince (Cost: 10000)",""
"4","1","483","2","4","0","5","0","483","33967","0","0","39168","100","Black Qiraji Resonating Crystal","","drop","The Lich King (3)",""
"5","1","580","2","5","0","3","0","580","16208","0","0","0","0","Horn of the Timber Wolf","","vendor","Mounts (Cost: 10000)",""
"6","1","6648","2","6","0","3","0","6648","13108","0","0","0","0","Chestnut Mare Bridle","","vendor","Gregor MacVince (Cost: 10000)",""
"7","1","6653","2","7","0","3","0","6653","16207","0","0","0","0","Horn of the Dire Wolf","","vendor","Mounts (Cost: 10000)",""
"8","1","6654","2","8","0","3","0","6654","16208","0","0","0","0","Horn of the Brown Wolf","","vendor","Mounts (Cost: 10000)",""
"9","1","6777","2","9","0","3","0","6777","17343","0","0","0","0","Gray Ram","","vendor","Mounts (Cost: 10000)",""
"10","1","6898","2","10","0","3","0","6898","17343","0","0","0","0","White Ram","","vendor","Mounts (Cost: 10000)",""
"11","1","6899","2","11","0","3","0","6899","17343","0","0","0","0","Brown Ram","","vendor","Mounts (Cost: 10000)",""
"12","1","8394","2","12","0","3","0","8394","17608","0","0","0","0","Reins of the Striped Frostsaber","","vendor","Lelanai (Cost: 10000)",""
"13","1","8395","2","13","0","3","0","8395","17494","0","0","0","0","Whistle of the Emerald Raptor","","vendor","Mounts (Cost: 10000)",""
"14","1","10789","2","14","0","3","0","10789","17608","0","0","0","0","Reins of the Spotted Frostsaber","","vendor","Lelanai (Cost: 10000)",""
"15","1","10793","2","15","0","3","0","10793","17606","0","0","0","0","Reins of the Striped Nightsaber","","vendor","Lelanai (Cost: 10000)",""
"16","1","10796","2","16","0","3","0","10796","17494","0","0","0","0","Whistle of the Turquoise Raptor","","vendor","Mounts (Cost: 10000)",""
"17","1","10799","2","17","0","3","0","10799","17494","0","0","0","0","Whistle of the Violet Raptor","","vendor","Mounts (Cost: 10000)",""
"18","1","10873","2","18","0","3","0","10873","17785","0","0","0","0","Red Mechanostrider","","vendor","Milli Featherwhistle (Cost: 10000)",""
"19","1","10969","2","19","0","3","0","10969","17785","0","0","0","0","Blue Mechanostrider","","vendor","Milli Featherwhistle (Cost: 10000)",""
"20","1","15779","2","20","0","4","0","15779","17785","0","0","0","0","White Mechanostrider Mod B","","vendor","Epic Mounts (Cost: 100000)",""
"21","1","16055","2","21","0","4","0","16055","17608","0","0","0","0","Reins of the Nightsaber","","vendor","Epic Mounts (Cost: 100000)",""
"22","1","16056","2","22","0","4","0","16056","17608","0","0","0","0","Reins of the Ancient Frostsaber","","vendor","Epic Mounts (Cost: 100000)",""
"23","1","16058","2","23","0","3","12325","16058","17607","0","0","12325","0","Reins of the Primal Leopard","Interface\Icons\Ability_Mount_JungleTiger","unknown","",""
"24","1","16059","2","24","0","3","12326","16059","17607","0","0","12326","0","Reins of the Tawny Sabercat","Interface\Icons\Ability_Mount_JungleTiger","unknown","",""
"25","1","16060","2","25","0","3","12327","16060","17607","0","0","12327","0","Reins of the Golden Sabercat","Interface\Icons\Ability_Mount_JungleTiger","unknown","",""
"26","1","16080","2","26","0","4","0","16080","16208","0","0","0","0","Horn of the Red Wolf","","vendor","Epic Mounts (Cost: 100000)",""
"27","1","16081","2","27","0","4","0","16081","16207","0","0","0","0","Horn of the Arctic Wolf","","vendor","Epic Mounts (Cost: 100000)",""
"28","1","16082","2","28","0","4","0","16082","25132","0","0","0","0","Palomino Bridle","","vendor","Epic Mounts (Cost: 100000)",""
"29","1","16083","2","29","0","4","0","16083","13108","0","0","0","0","White Stallion Bridle","","vendor","Epic Mounts (Cost: 100000)",""
"30","1","16084","2","30","0","4","0","16084","17494","0","0","0","0","Whistle of the Mottled Red Raptor","","vendor","Epic Mounts (Cost: 100000)",""
"31","1","17229","2","31","0","4","0","17229","23606","0","0","0","0","Reins of the Winterspring Frostsaber","","vendor","Epic Mounts (Cost: 1000000)",""
"32","1","17450","2","32","0","4","0","17450","17494","0","0","0","0","Whistle of the Ivory Raptor","","vendor","Epic Mounts (Cost: 100000)",""
"33","1","17453","2","33","0","3","0","17453","17785","0","0","0","0","Green Mechanostrider","","vendor","Milli Featherwhistle (Cost: 10000)",""
"34","1","17454","2","34","0","3","0","17454","17785","0","0","0","0","Unpainted Mechanostrider","","vendor","Milli Featherwhistle (Cost: 10000)",""
