"ID","DisplayID","InventoryType","ItemClass","ItemSubClass","VisualSlot","CanonicalItemID","Rarity","ItemLevel","Name","Icon","ItemIDsTotal","ItemIDs"
"1","224","11","4","0","0","9533","3","47","Masons Fraternity Ring","Interface\Icons\INV_Jewelry_Ring_03","13","8350,9362,9533,9538,9588,11973,12008,12038,13475,19038,53444,56709,60644"
"2","242","8","4","0","297","95","1","1","Deprecated Dwarven Novice's Boots","Interface\Icons\INV_Boots_01","1","95"
"3","245","8","4","0","297","114","1","1","Deprecated Dwarven Apprentice Boots","Interface\Icons\INV_Boots_01","1","114"
"4","249","8","4","0","297","92","1","1","OLDDwarven Initiate's Boots","Interface\Icons\INV_Boots_01","1","92"
"5","257","8","4","0","297","99","1","1","Deprecated Dwarven Squire's Boots","Interface\Icons\INV_Boots_01","1","99"
"6","261","8","4","0","297","87","1","1","Deprecated Old Boots","Interface\Icons\INV_Boots_01","1","87"
"7","295","8","4","0","297","132","1","1","Deprecated Orc Acolyte's Boots","Interface\Icons\INV_Boots_02","1","132"
"8","311","8","4","0","297","136","1","1","Deprecated Old Leather Boots","Interface\Icons\INV_Boots_01","1","136"
"9","365","7","4","1","295","113","0","1","Deprecated Dwarven Apprentice Pants","Interface\Icons\INV_Pants_02","1","113"
"10","368","7","4","1","295","91","0","1","OLDDwarven Initiate's Pants","Interface\Icons\INV_Pants_02","1","91"
"11","369","4","4","0","289","93","1","1","OLDDwarven Initiate's Shirt","Interface\Icons\INV_Shirt_01","1","93"
"12","370","7","4","1","295","104","0","1","Deprecated Sturdy Brown Pants","Interface\Icons\INV_Pants_02","1","104"
"13","371","4","4","0","289","105","1","1","Deprecated Dwarven Recruit's Shirt","Interface\Icons\INV_Shirt_01","1","105"
"14","372","7","4","1","295","100","0","1","Deprecated Dwarven Squire's Pants","Interface\Icons\INV_Pants_02","1","100"
"15","373","4","4","0","289","101","1","1","Deprecated Dwarven Squire's Shirt","Interface\Icons\INV_Shirt_01","1","101"
"16","374","7","4","1","295","88","0","1","Deprecated Old Pants","Interface\Icons\INV_Pants_02","1","88"
"17","383","4","4","0","289","123","1","1","Deprecated Orc Apprentice Shirt","Interface\Icons\INV_Shirt_01","1","123"
"18","386","7","4","1","295","135","0","1","Deprecated Stiff Leather Pants","Interface\Icons\INV_Pants_02","1","135"
"19","387","4","4","0","289","134","1","1","Deprecated Stiff Leather Shirt","Interface\Icons\INV_Shirt_01","1","134"
"20","392","7","4","1","295","150","0","1","Deprecated Tauren Apprentice Pants","Interface\Icons\INV_Pants_02","1","150"
