"ID","RaceID","SexID","BaseSection","TextureName_1","TextureName_2","TextureName_3","Flags","VariationIndex","ColorIndex"
"1","1","0","0","Character\Human\Male\HumanMaleSkin00_00.blp","Character\Human\Male\HumanMaleSkin00_00_Extra.blp","","17","0","0"
"2","1","0","0","Character\Human\Male\HumanMaleSkin00_01.blp","Character\Human\Male\HumanMaleSkin00_01_Extra.blp","","17","0","1"
"3","1","0","0","Character\Human\Male\HumanMaleSkin00_02.blp","Character\Human\Male\HumanMaleSkin00_02_Extra.blp","","17","0","2"
"4","1","0","0","Character\Human\Male\HumanMaleSkin00_03.blp","Character\Human\Male\HumanMaleSkin00_03_Extra.blp","","17","0","3"
"5","1","0","0","Character\Human\Male\HumanMaleSkin00_04.blp","Character\Human\Male\HumanMaleSkin00_04_Extra.blp","","17","0","4"
"6","1","0","0","Character\Human\Male\HumanMaleSkin00_05.blp","Character\Human\Male\HumanMaleSkin00_05_Extra.blp","","17","0","5"
"7","1","0","0","Character\Human\Male\HumanMaleSkin00_06.blp","Character\Human\Male\HumanMaleSkin00_06_Extra.blp","","17","0","6"
"8","1","0","0","Character\Human\Male\HumanMaleSkin00_07.blp","Character\Human\Male\HumanMaleSkin00_07_Extra.blp","","17","0","7"
"9","1","0","0","Character\Human\Male\HumanMaleSkin00_08.blp","Character\Human\Male\HumanMaleSkin00_08_Extra.blp","","17","0","8"
"10","1","0","0","Character\Human\Male\HumanMaleSkin00_09.blp","Character\Human\Male\HumanMaleSkin00_09_Extra.blp","","17","0","9"
"4281","1","0","0","Character\Human\Male\HumanMaleSkin00_100.blp","Character\Human\Male\HumanMaleSkin00_100_Extra.blp","","8","0","10"
"4901","1","0","0","Character\Human\Male\HumanMaleSkin00_101.blp","Character\Human\Male\HumanMaleSkin00_101_Extra.blp","","8","0","11"
"10173","1","0","0","Character\Human\Male\HumanMaleSkin00_10.blp","Character\Human\Male\HumanMaleSkin00_10_Extra.blp","","5","0","12"
"10175","1","0","0","Character\Human\Male\HumanMaleSkin00_11.blp","Character\Human\Male\HumanMaleSkin00_11_Extra.blp","","5","0","13"
"10177","1","0","0","Character\Human\Male\HumanMaleSkin00_12.blp","Character\Human\Male\HumanMaleSkin00_12_Extra.blp","","5","0","14"
"5183","1","0","1","Character\Human\Male\HumanMaleFaceLower00_00.blp","Character\Human\Male\HumanMaleFaceUpper00_00.blp","","1","0","0"
"5184","1","0","1","Character\Human\Male\HumanMaleFaceLower00_01.blp","Character\Human\Male\HumanMaleFaceUpper00_01.blp","","1","0","1"
"5185","1","0","1","Character\Human\Male\HumanMaleFaceLower00_02.blp","Character\Human\Male\HumanMaleFaceUpper00_02.blp","","1","0","2"
"5186","1","0","1","Character\Human\Male\HumanMaleFaceLower00_03.blp","Character\Human\Male\HumanMaleFaceUpper00_03.blp","","1","0","3"
"5187","1","0","1","Character\Human\Male\HumanMaleFaceLower00_04.blp","Character\Human\Male\HumanMaleFaceUpper00_04.blp","","1","0","4"
"5188","1","0","1","Character\Human\Male\HumanMaleFaceLower00_05.blp","Character\Human\Male\HumanMaleFaceUpper00_05.blp","","1","0","5"
"5189","1","0","1","Character\Human\Male\HumanMaleFaceLower00_06.blp","Character\Human\Male\HumanMaleFaceUpper00_06.blp","","1","0","6"
"5190","1","0","1","Character\Human\Male\HumanMaleFaceLower00_07.blp","Character\Human\Male\HumanMaleFaceUpper00_07.blp","","1","0","7"
"5191","1","0","1","Character\Human\Male\HumanMaleFaceLower00_08.blp","Character\Human\Male\HumanMaleFaceUpper00_08.blp","","1","0","8"
"5192","1","0","1","Character\Human\Male\HumanMaleFaceLower00_09.blp","Character\Human\Male\HumanMaleFaceUpper00_09.blp","","1","0","9"
"10188","1","0","1","Character\Human\Male\HumanMaleFaceLower00_10.blp","Character\Human\Male\HumanMaleFaceUpper00_10.blp","","5","0","12"
"10189","1","0","1","Character\Human\Male\HumanMaleFaceLower00_11.blp","Character\Human\Male\HumanMaleFaceUpper00_11.blp","","5","0","13"
"10190","1","0","1","Character\Human\Male\HumanMaleFaceLower00_12.blp","Character\Human\Male\HumanMaleFaceUpper00_12.blp","","5","0","14"
"5193","1","0","1","Character\Human\Male\HumanMaleFaceLower01_00.blp","Character\Human\Male\HumanMaleFaceUpper01_00.blp","","1","1","0"
