ID,Flags,ModelName,SizeClass,ModelScale,BloodID,FootprintTextureID,FootprintTextureLength,FootprintTextureWidth,FootprintParticleScale,FoleyMaterialID,FootstepShakeSize,DeathThudShakeSize,SoundID,CollisionWidth,CollisionHeight,MountHeight,GeoBoxMinX,GeoBoxMinY,GeoBoxMinZ,GeoBoxMaxX,GeoBoxMaxY,GeoBoxMaxZ,WorldEffectScale,AttachedEffectScale,MissileCollisionRadius,MissileCollisionPush,MissileCollisionRaise
1,10,Creature\Basilisk\Basilisk.mdx,1,1,1,7,18,12,1,0,0,0,1,0.6944,2.083,0,-6.11824,-3.009243,-0.205842,2.773298,3.082281,2.069802,1,1,0,0,0
2,2,Creature\BogBeast\BogBeast.mdx,1,1,1,-1,18,12,1,0,0,0,2,0.6944,2.083,0,-0.80396,-2.567924,-0.177568,1.745725,2.113652,2.841644,1,1,0,0,0
3,2,Creature\Centaur\Centaur.mdx,1,1,1,-1,18,12,1,0,0,0,3,0.6944,2.083,0,-1.457067,-0.507095,-0.00472,0.991472,0.523132,2.763926,1,1,0,0,0
4,2,Creature\CrystalSpider\CrystalSpider.mdx,1,1,1,0,18,12,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5,2,Creature\DarkHound\DarkHound.mdx,1,1,1,-1,18,12,1,0,0,0,5,0.6111,1.667,0,-1.346205,-0.473692,-0.010816,0.81945,0.423427,1.619908,1,1,0,0,0
6,9,Creature\DragonWhelp\DragonWhelp.mdx,0,1,1,-1,18,12,1,0,0,0,6,0.6944,2.083,0,-0.752446,-0.943528,0.979083,0.637078,0.966223,3.190623,1,1,0,0,0
8,0,Creature\furbolg\Furbolg.mdx,1,1,1,7,18,12,1,0,0,0,8,0.6111,2.031,0,-0.586774,-0.951519,-0.00077,1.083751,0.95181,1.968149,1,1,0,0,0
9,3,Creature\Ghost\Ghost.mdx,1,1,1,4,18,12,1,0,0,0,9,0.6111,2.031,0,-1.888223,-1.920802,-0.331675,1.406232,1.536253,3.109601,1,1,0,0,0
10,0,Creature\Gnoll\gnoll.mdx,1,1,1,7,18,12,1,0,0,0,10,0.6111,2.031,0,-0.773347,-0.695158,0.000415,0.731812,0.757685,1.7562,1,1,0,0,0
11,0,Creature\Grell\Grell.mdx,0,1,1,4,18,12,1,0,0,0,11,0.4722,1.528,0,-1.463788,-0.768816,-0.002778,0.697103,0.74807,1.423259,1,1,0,0,0
12,1,Creature\Harpy\Harpy.mdx,1,1,1,-1,18,12,1,0,0,0,12,0.6111,2.031,0,-0.560316,-1.667411,0.857127,0.604707,1.697262,4.541226,1,1,0,0,0
13,0,Creature\HUFMCitizenLow\HUFMCitizenLow.mdx,1,1,1,1,18,12,1,0,0,0,13,0.5097,2.031,0,-0.19898,-0.378926,-0.014416,0.390325,0.322053,1.896097,1,1,0,0,0
14,0,Creature\HUFMCitizenMid\HUFMCitizenMid.mdx,1,1,1,1,18,12,1,0,0,0,14,0.5097,2.031,0,-0.2308,-0.378927,-0.014415,0.39032,0.322057,1.883328,1,1,0,0,0
15,0,Creature\HUFMMerchant\HUFMMerchant.mdx,1,1,1,1,18,12,1,0,0,0,15,0.5097,2.031,0,-0.198984,-0.378927,-0.014415,0.39032,0.322057,1.901672,1,1,0,0,0
16,0,Creature\HumanThief\HumanThief.mdx,1,1,1,1,18,12,1,0,0,0,16,0.6944,2.083,0,-0.489163,-0.396401,-0.014425,0.580315,0.315949,1.775748,1,1,0,0,0
17,0,Creature\HUMLBlackSmith\HUMLBlackSmith.mdx,1,1,1,1,18,12,1,0,0,0,17,0.5097,2.031,0,-0.29474,-0.582371,-0.007053,0.519454,0.555572,2.008623,1,1,0,0,0
18,0,Creature\HUMLMagicSmith\HUMLMagicSmith.mdx,1,1,1,1,18,12,1,0,0,0,18,0.5097,2.031,0,-0.29474,-0.689696,-0.007052,0.617837,0.555572,2.275541,1,1,0,0,0
19,0,Creature\HUMLMerchant\HUMLMerchant.mdx,1,1,1,1,18,12,1,0,0,0,19,0.5097,2.031,0,-0.293407,-0.581778,-0.006811,0.515013,0.554914,2.010396,1,1,0,0,0
20,0,Creature\HUMLUpperCitizen\HUMLUpperCitizen.mdx,1,1,1,1,18,12,1,0,0,0,20,0.5097,2.031,0,-0.293581,-0.581822,-0.006811,0.515113,0.554888,2.050255,1,1,0,0,0
21,0,Creature\HUMNGuardBig\HUMNGuardBig.mdx,1,1,1,1,18,12,1,0,0,0,21,0.5097,2.031,0,-0.524196,-0.47091,-0.002551,0.42839,0.517416,2.227501,1,1,0,0,0
22,0,Creature\HUMSCitizenMid\HUMSCitizenMid.mdx,1,1,1,1,18,12,1,0,0,0,22,0.6111,2.031,1.166689,-0.7177,-0.869459,-0.000788,0.368035,0.749464,2.025258,1,1,0,0,0
23,0,Creature\HUMSMerchant\HUMSMerchant.mdx,1,1,1,1,18,12,1,0,0,0,23,0.5097,2.031,0,-0.24361,-0.537323,-0.001524,0.503073,0.540581,2.024281,1,1,0,0,0
24,2,Creature\Infernal\Infernal.mdx,1,1,1,5,18,12,1,0,0,10,24,0.6111,2.031,0,-1.439007,-2.751234,0.030889,1.05978,2.727136,4.129122,1,1,0,0,0
25,0,Creature\KeeperOfTheGrove\KeeperOfTheGrove.mdx,1,1,1,6,18,12,1,0,0,0,25,0.6111,2.031,1.995838,-1.852656,-1.001164,-0.02142,1.470198,1.58021,4.135486,1,1,0,0,0
26,0,Creature\Kobold\Kobold.mdx,0,1,1,1,18,12,1,0,0,0,26,0.6944,1.389,0,-0.981126,-0.552605,-0.008109,0.943607,0.480619,1.235099,1,1,0,0,0
27,0,Creature\Kodobeast\KodoBeast.mdx,3,1,1,1,18,12,1,0,1,10,27,0.6111,2.031,3.542867,-7.282068,-2.412746,-0.020839,3.343075,2.277804,5.366936,1,1,0,0,0
28,2,Creature\LavaSpider\LavaSpider.mdx,1,1,1,-1,18,12,1,0,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29,0,Creature\LostOne\LostOne.mdx,1,1,1,4,18,12,1,0,0,0,29,0.6111,2.031,1.043115,-0.567583,-0.519007,-0.004756,0.308936,0.529303,1.946746,1,1,0,0,0
30,2,Creature\MineSpider\MineSpider.mdx,1,1,2,-1,18,12,1,0,0,0,30,0.6111,2.031,0,-2.202567,-2.198774,-0.018529,3.882277,2.196034,2.039596,1,1,0,0,0
31,0,Creature\Murloc\Murloc.mdx,1,1,1,4,18,12,1,0,0,0,31,0.6111,2.031,0.387196,-0.604078,-0.496665,-0.001952,0.433186,0.493416,1.285221,1,1,0,0,0
