Level,Exp_0,Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9
1,0,10,20,40,60,80,100,120,160,0
2,0,15,45,85,130,170,215,255,340,0
3,0,25,65,125,190,250,315,380,500,0
4,0,35,90,180,270,355,445,540,710,0
5,0,45,110,225,335,450,560,670,900,0
6,0,55,135,270,405,540,680,810,1080,0
7,0,65,160,315,475,630,790,950,1260,0
8,0,70,175,350,530,700,880,1050,1400,0
9,0,80,195,390,590,780,980,1150,1560,0
10,0,85,210,420,630,840,1050,1250,1680,0
11,0,90,220,440,660,880,1100,1300,1760,0
12,0,90,225,455,680,910,1150,1350,1820,0
13,0,90,230,455,680,910,1150,1350,1820,0
14,0,100,245,490,740,980,1250,1450,1960,0
15,0,105,270,540,800,1050,1350,1600,2100,0
16,0,115,290,580,880,1150,1450,1750,2300,0
17,0,125,315,630,950,1250,1600,1900,2500,0
18,0,135,340,680,1000,1350,1700,2050,2700,0
19,0,145,365,730,1100,1450,1800,2200,2900,0
20,0,155,390,780,1150,1550,1950,2350,3100,0
21,0,165,415,830,1250,1650,2050,2500,3300,0
22,0,175,435,870,1300,1750,2200,2600,3500,0
23,0,185,460,920,1400,1850,2300,2750,3700,0
24,0,195,485,970,1450,1950,2400,2900,3900,0
25,0,200,510,1000,1500,2000,2550,3050,4000,0
26,0,210,530,1050,1600,2100,2650,3150,4200,0
27,0,220,550,1100,1650,2200,2750,3300,4400,0
28,0,230,570,1150,1700,2300,2850,3400,4600,0
29,0,235,590,1200,1750,2350,2950,3550,4700,0
30,0,245,610,1200,1850,2450,3050,3650,4900,0
31,0,250,630,1250,1900,2540,3150,3800,5080,0
32,0,270,670,1350,2000,2710,3350,4050,5420,0
33,0,290,720,1450,2150,2900,3600,4350,5800,0
34,0,310,770,1550,2300,3100,3850,4650,6200,0
35,0,330,820,1650,2450,3300,4100,4950,6600,0
36,0,350,870,1750,2600,3500,4350,5250,7000,0
37,0,370,920,1850,2750,3710,4600,5550,7420,0
38,0,390,980,1950,2900,3920,4900,5850,7840,0
39,0,410,1030,2050,3100,4140,5150,6200,8280,0
40,0,435,1090,2150,3250,4370,5450,6550,8740,0
41,0,455,1140,2250,3400,4590,5700,6850,9180,0
42,0,480,1200,2400,3600,4820,6000,7200,9640,0
43,0,505,1260,2500,3750,5050,6300,7550,10100,0
44,0,525,1320,2600,3950,5290,6600,7900,10580,0
45,0,550,1380,2750,4150,5540,6900,8300,11080,0
46,0,575,1440,2850,4300,5790,7200,8650,11580,0
47,0,600,1510,3000,4500,6040,7550,9050,12080,0
