"ID","ModelName","Sound_1","Sound_2","Sound_3","Sound_4","Sound_5","Sound_6","Sound_7","Sound_8","Sound_9","Sound_10","GeoBoxMinX","GeoBoxMinY","GeoBoxMinZ","GeoBoxMaxX","GeoBoxMaxY","GeoBoxMaxZ","ObjectEffectPackageID"
"1","World\Generic\ActiveDoodads\Chest02\Chest02.mdx","0","1277","0","0","0","0","0","0","0","0","-0.260733","-0.451229","0.007418","0.260617","0.44936","0.686414","0"
"2","World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx","0","0","0","0","0","0","0","0","0","0","-0.325455","-0.337294","0.001487","0.350791","0.310531","0.990646","0"
"3","World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx","0","0","0","0","0","0","0","0","0","0","-5.358705","-6.206873","-0.018554","7.331823","6.69399","14.53024","0"
"4","World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx","0","0","0","0","0","0","0","0","0","0","-0.31981","-0.9864","0.00453","1.094419","0.993903","2.802941","0"
"5","World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx","0","0","0","0","0","0","0","0","0","0","-0.765516","-1.652674","-0.301773","0.052263","1.628192","4.432925","0"
"6","World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx","0","0","0","0","0","0","0","0","0","0","-4.303809","-5.194985","-1.000119","4.28994","4.961264","12.12471","0"
"7","World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx","0","0","0","0","0","0","0","0","0","0","-0.266556","-0.264553","0.002714","0.256744","0.268632","0.650797","0"
"8","World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx","0","0","0","0","0","0","0","0","0","0","-0.305242","-0.698802","-0.005984","0.303308","0.690087","0.46764","0"
"9","World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx","0","0","0","0","0","0","0","0","0","0","-1.234735","-0.580024","-0.035215","0.428833","0.815669","1.018483","0"
"10","World\Generic\ActiveDoodads\Chest01\Chest01.mdx","1282","1277","1281","1278","0","0","0","0","0","0","-0.39367","-0.590816","0.012198","0.393554","0.588955","0.630732","0"
"11","World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx","0","0","0","0","0","0","0","0","0","0","-1.63277","-0.547135","-0.216284","1.469702","0.56849","1.012251","0"
"12","World\Azeroth\Duskwood\PassiveDoodads\Tombs\WoodCross02.mdx","0","0","0","0","0","0","0","0","0","0","-0.111867","-0.35379","-0.298858","0.119604","0.386132","2.008659","0"
"13","WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\FARMDOOR01TEST.MDX","0","0","0","0","0","0","0","0","0","0","-2.81626","-0.418783","-1.70882","0.041067","0.418783","1.70882","0"
"14","World\Generic\Human\Passive Doodads\Meat\BloodyMeat01.mdx","0","0","0","0","0","0","0","0","0","0","-0.280282","-0.335319","-0.042974","0.280684","0.396865","0.493401","0"
"15","WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDX","0","0","0","0","0","0","0","0","0","0","-0.106445","-0.680752","0.802495","0.2254","0.704943","2.806001","0"
"17","World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterFramed01.mdx","0","0","0","0","0","0","0","0","0","0","-0.214216","-0.506724","-1.652187","0.116202","0.52248","2.497427","0"
"18","World\Azeroth\Westfall\PassiveDoodads\Crate\WestFallCrate.mdx","0","0","0","0","0","0","0","0","0","0","-0.428923","-0.763771","0.003345","0.428923","0.764006","0.503345","0"
"19","World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone07.mdx","0","0","0","0","0","0","0","0","0","0","-0.219444","-0.508333","-0.147632","0.219444","0.508333","1.426113","0"
"20","World\Azeroth\Duskwood\PassiveDoodads\Tombs\DirtMound01.mdx","0","0","0","0","0","0","0","0","0","0","-1.692881","-1.063639","-0.010465","1.692881","1.004258","0.666919","0"
"21","World\Generic\Orc\Passive Doodads\Jars\JarOrc02.mdx","0","0","0","0","0","0","0","0","0","0","-0.207902","-0.244864","0","0.207059","0.234292","0.550984","0"
"22","World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerWorn01.mdx","0","0","0","0","0","0","0","0","0","0","0.417629","-0.984875","2.660958","0.650702","1.292585","3.518984","0"
"25","World\Generic\PassiveDoodads\BindStone\NewBindStone.mdx","0","0","0","0","0","0","0","0","0","0","-2.030113","-3.055414","-0.239334","2.592509","3.023229","9.040523","0"
"26","World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerNice01.mdx","0","0","0","0","0","0","0","0","0","0","-0.090289","-0.807625","3.463157","0.09029","0.864858","3.907382","0"
"27","World\Generic\Human\Passive Doodads\SignPosts\StoneSignPointer01.mdx","0","0","0","0","0","0","0","0","0","0","-0.16612","-0.84656","2.846081","0.166117","1.409833","3.906655","0"
"28","World\Generic\ActiveDoodads\Bushes\BerryBush01.mdx","0","0","0","0","0","0","0","0","0","0","-1.427991","-1.991418","-0.55691","1.43657","1.539283","2.262655","0"
"30","World\Generic\Human\Passive Doodads\GunShop\GunShopPowderKegOpen.mdx","0","0","0","0","0","0","0","0","0","0","-0.355893","-0.347724","-0.000389","0.355385","0.369838","1.09105","0"
"31","World\Generic\Human\Passive Doodads\Crates\StormwindCrate01.mdx","0","0","0","0","0","0","0","0","0","0","-0.615704","-0.661954","0","0.615704","0.661954","1.24297","0"
"32","World\Generic\PassiveDoodads\Barrel\Barrel01.mdx","0","0","0","0","0","0","0","0","0","0","-0.430319","-0.467806","-0.001256","0.428833","0.524257","0.992064","0"
"33","World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKeg01.mdx","0","0","0","0","0","0","0","0","0","0","-0.308737","-0.360661","-0.001209","0.309601","0.353334","0.967672","0"
"36","World\Generic\Human\Passive Doodads\CargoBoxes\DeadMineCargoBoxes.mdx","0","0","0","0","0","0","0","0","0","0","-1.278243","-1.143335","-0.019199","1.294208","1.11953","1.759557","0"
"39","World\Generic\Human\Passive Doodads\Chairs\GeneralChairLoEnd01.mdx","0","0","0","0","0","0","0","0","0","0","-0.998546","-0.553206","-0.006989","0.17893","0.553206","1.327819","0"
"41","World\Generic\ActiveDoodads\Chest03\Chest03.mdx","0","1277","0","0","0","0","0","0","0","0","-0.394601","-0.590637","0.005024","0.3936","0.589135","0.623557","0"
"42","World\Generic\PassiveDoodads\ParticleEmitters\Bubbles01.mdx","0","0","0","0","0","0","0","0","0","0","-0.049065","-0.026798","-0.121093","0.047085","0.056471","-0.061791","0"
"43","World\Generic\Human\Passive Doodads\BookStacks\GeneralBookStackTall01.mdx","0","0","0","0","0","0","0","0","0","0","-0.535453","-0.232566","-0.000655","0.259489","0.617248","0.711104","0"
"45","World\Generic\PassiveDoodads\ParticleEmitters\Blacksmith_smoke.mdx","0","0","0","0","0","0","0","0","0","0","1","1","1","-1","-1","-1","0"
"47","World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowRoot03.mdx","0","0","0","0","0","0","0","0","0","0","-1.292971","-1.178714","-0.60938","1.292971","1.807275","3.799574","0"
"48","World\Generic\ActiveDoodads\Rocks\GemRock01.mdx","0","0","0","0","0","0","0","0","0","0","-2.012936","-2.029193","-2.339579","1.0193","2.058547","3.60971","0"
"49","World\Lordaeron\TirisfalGlade\PassiveDoodads\Graves\TirisfallGraveDirtMound01.mdx","0","0","0","0","0","0","0","0","0","0","-2.172897","-2.187397","-0.55271","2.192411","2.177912","0.831943","0"
"51","World\Generic\PassiveDoodads\Furniture\Containers\TitanChest.mdx","0","11982","0","11983","0","0","0","0","0","0","-1.704678","-2.409838","-0.158941","1.353499","2.428247","2.189532","0"
"52","World\Generic\PassiveDoodads\Furniture\Containers\TitanVase01.mdx","0","0","0","0","0","0","0","0","0","0","-1.209374","-1.236598","-0.088221","1.256398","1.229175","3.147975","0"
"53","World\Generic\PassiveDoodads\Furniture\Containers\TitanVase02.mdx","0","0","0","0","0","0","0","0","0","0","-0.68389","-0.696972","-0.060746","0.730914","0.717832","3.175451","0"
