"ID","Data"
"1","0,096154"
"2","0,096154"
"3","0,096154"
"4","0,096154"
"5","0,096154"
"6","0,096154"
"7","0,096154"
"8","0,096154"
"9","0,096154"
"10","0,096154"
"11","0,144231"
"12","0,192308"
"13","0,240385"
"14","0,288462"
"15","0,336538"
"16","0,384615"
"17","0,432692"
"18","0,480769"
"19","0,528846"
"20","0,576923"
"21","0,625"
"22","0,673077"
"23","0,721154"
"24","0,769231"
"25","0,817308"
"26","0,865385"
"27","0,913462"
"28","0,961538"
"29","1,009615"
"30","1,057692"
"31","1,105769"
"32","1,153846"
"33","1,201923"
"34","1,25"
"35","1,298077"
"36","1,346154"
"37","1,394231"
"38","1,442308"
"39","1,490385"
"40","1,538462"
"41","1,586538"
"42","1,634615"
"43","1,682692"
"44","1,730769"
"45","1,778846"
"46","1,826923"
"47","1,875"
"48","1,923077"
"49","1,971154"
"50","2,019231"
"51","2,067308"
"52","2,115385"
"53","2,163461"
"54","2,211539"
"55","2,259615"
"56","2,307692"
"57","2,355769"
"58","2,403846"
"59","2,451923"
"60","2,5"
"61","2,594937"
"62","2,697368"
"63","2,808219"
"64","2,928571"
"65","3,059702"
"66","3,203125"
"67","3,360656"
"68","3,534483"
"69","3,727273"
"70","3,942308"
"71","4,241735"
"72","4,563906"
"73","4,910545"
"74","5,283514"
"75","5,684809"
"76","6,116584"
"77","6,581153"
"78","7,081008"
"79","7,618829"
"80","8,197496"
"81","8,820117"
"82","9,490026"
"83","10,21082"
"84","10,98635"
"85","11,8208"
"86","12,71861"
"87","13,68462"
"88","14,724"
"89","15,84233"
"90","17,04559"
"91","18,34024"
"92","19,73323"
"93","21,23202"
"94","22,84464"
"95","24,57975"
"96","26,44664"
"97","28,45532"
"98","30,61658"
"99","32,94198"
"100","35,444"
"101","0,75"
"102","0,75"
"103","0,75"
"104","0,75"
"105","0,75"
"106","0,75"
"107","0,75"
"108","0,75"
"109","0,75"
"110","0,75"
"111","0,75"
"112","0,75"
"113","0,75"
"114","0,75"
"115","0,75"
"116","0,75"
"117","0,75"
"118","0,75"
"119","0,75"
"120","0,75"
"121","0,75"
"122","0,75"
"123","0,75"
"124","0,75"
"125","0,75"
"126","0,75"
"127","0,75"
"128","0,75"
"129","0,75"
"130","0,75"
"131","0,75"
"132","0,75"
"133","0,75"
"134","0,75"
"135","0,778846"
"136","0,807692"
"137","0,836538"
"138","0,865385"
"139","0,894231"
"140","0,923077"
"141","0,951923"
"142","0,980769"
"143","1,009615"
"144","1,038462"
"145","1,067308"
"146","1,096154"
"147","1,125"
"148","1,153846"
"149","1,182692"
"150","1,211538"
"151","1,240385"
"152","1,269231"
"153","1,298077"
"154","1,326923"
"155","1,355769"
"156","1,384615"
"157","1,413461"
"158","1,442308"
"159","1,471154"
"160","1,5"
"161","1,556962"
"162","1,618421"
"163","1,684931"
"164","1,757143"
"165","1,835821"
"166","1,921875"
"167","2,016393"
"168","2,12069"
"169","2,236364"
"170","2,365385"
"171","2,545041"
"172","2,738343"
"173","2,946327"
"174","3,170108"
"175","3,410886"
"176","3,66995"
"177","3,948692"
"178","4,248605"
"179","4,571297"
"180","4,918498"
"181","5,29207"
"182","5,694016"
"183","6,12649"
"184","6,591812"
"185","7,092476"
"186","7,631167"
"187","8,210773"
"188","8,834401"
"189","9,505396"
"190","10,22735"
"191","11,00415"
"192","11,83994"
"193","12,73921"
"194","13,70678"
"195","14,74785"
"196","15,86798"
"197","17,07319"
"198","18,36995"
"199","19,76519"
"200","21,2664"
"201","6,900001"
"202","6,900001"
"203","6,900001"
"204","6,900001"
"205","6,900001"
"206","6,900001"
"207","6,900001"
"208","6,900001"
"209","6,900001"
"210","6,900001"
"211","6,900001"
"212","6,900001"
"213","6,900001"
"214","6,900001"
"215","6,900001"
"216","6,900001"
"217","6,900001"
"218","6,900001"
"219","6,900001"
"220","6,900001"
"221","6,900001"
"222","6,900001"
"223","6,900001"
"224","6,900001"
"225","6,900001"
"226","6,900001"
"227","6,900001"
"228","6,900001"
"229","6,900001"
"230","6,900001"
"231","6,900001"
"232","6,900001"
"233","6,900001"
"234","6,900001"
"235","7,165385"
"236","7,430769"
"237","7,696154"
"238","7,961538"
"239","8,226923"
"240","8,492308"
"241","8,757692"
"242","9,023077"
"243","9,288462"
"244","9,553846"
"245","9,819231"
"246","10,08462"
"247","10,35"
"248","10,61539"
"249","10,88077"
"250","11,14615"
"251","11,41154"
"252","11,67692"
"253","11,94231"
"254","12,20769"
"255","12,47308"
"256","12,73846"
"257","13,00385"
"258","13,26923"
"259","13,53462"
"260","13,8"
"261","14,32405"
"262","14,88948"
"263","15,50137"
"264","16,16571"
"265","16,88955"
"266","17,68125"
"267","18,55082"
"268","19,51035"
"269","20,57455"
"270","21,76154"
"271","23,41438"
"272","25,19276"
"273","27,10621"
"274","29,165"
"275","31,38015"
"276","33,76355"
"277","36,32797"
"278","39,08717"
"279","42,05593"
"280","45,25019"
"281","48,68705"
"282","52,38495"
"283","56,36371"
"284","60,64467"
"285","65,25079"
"286","70,20674"
"287","75,53911"
"288","81,2765"
"289","87,44964"
"290","94,09166"
"291","101,2381"
"292","108,9274"
"293","117,2007"
"294","126,1024"
"295","135,6802"
"296","145,9854"
"297","157,0734"
"298","169,0035"
"299","181,8397"
"300","195,6509"
"301","6,900001"
"302","6,900001"
"303","6,900001"
"304","6,900001"
"305","6,900001"
"306","6,900001"
"307","6,900001"
"308","6,900001"
"309","6,900001"
"310","6,900001"
"311","6,900001"
"312","6,900001"
"313","6,900001"
"314","6,900001"
"315","6,900001"
