"ID","HideGeoset_1","HideGeoset_2","HideGeoset_3","HideGeoset_4","HideGeoset_5","HideGeoset_6","HideGeoset_7"
"245","0","0","0","0","0","0","0"
"246","-65","0","128","4","-1297","0","0"
"247","0","-49","-113","-305","0","0","0"
"248","-65","-49","-113","-305","-273","0","0"
"249","-65","0","128","0","2112","0","0"
"265","-65","0","0","0","-3575","0","0"
"285","4094","4094","4094","4094","4094","256","0"
"305","3518","0","0","2188","64","0","0"
"306","3518","1502","3582","1246","3310","0","0"
"307","3518","0","128","1036","2286","0","0"
"325","958","0","0","974","64","0","0"
"345","3518","64","3214","140","2254","0","0"
"365","0","0","128","0","0","0","0"
"366","4030","0","128","4","0","0","0"
"367","3518","0","0","1038","0","0","0"
"368","-1","-49","-49","-49","-1","0","0"
"369","0","62430","62398","65246","0","0","0"
"370","0","0","0","0","0","0","-1"
"371","0","0","0","0","-1","-1","0"
"372","0","0","0","0","-1","0","0"
"376","4194238","0","128","4","4194302","1024","0"
