"ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask"
"0","NONE","","","","","","","","","","","","","","","","16712190"
"1","Arrows","","","","","","","","","","","","","","","","16712190"
"2","Bullets","","","","","","","","","","","","","","","","16712190"
"3","Soul Shards","","","","","","","","","","","","","","","","16712190"
"4","Leatherworking Supplies","","","","","","","","","","","","","","","","16712190"
"5","Inscription Supplies","","","","","","","","","","","","","","","","16711935"
"6","Herbs","","","","","","","","","","","","","","","","16712190"
"7","Enchanting Supplies","","","","","","","","","","","","","","","","16712190"
"8","Engineering Supplies","","","","","","","","","","","","","","","","16712190"
"9","Keys","","","","","","","","","","","","","","","","16712190"
"10","Gems","","","","","","","","","","","","","","","","16712190"
"11","Mining Supplies","","","","","","","","","","","","","","","","16712190"
"12","Soulbound Equipment","","","","","","","","","","","","","","","","16712190"
"13","Vanity Pets","","","","","","","","","","","","","","","","16712190"
"14","Currency Tokens","","","","","","","","","","","","","","","","16711934"
"15","Quest Items","","","","","","","","","","","","","","","","16711934"
"16","Fishing Supplies","","","","","","","","","","","","","","","","16711934"
