"ID","HighlightSky","LightSkyboxID","CloudTypeID","Glow","WaterShallowAlpha","WaterDeepAlpha","OceanShallowAlpha","OceanDeepAlpha"
"1","0","83","0","0.2","0.5","1","0.75","1"
"2","0","82","0","0.4","0.5","1","0.75","1"
"3","0","81","0","0.6","0.5","1","0.75","1"
"4","0","90","0","0.8","0.5","1","0.75","1"
"5","0","91","0","1","0.5","1","0.75","1"
"6","0","0","0","0.65","0.5","1","0.75","1"
"7","0","0","0","0.65","0.5","1","0.75","1"
"8","1","105","0","0.5","0.5","1","0.75","1"
"9","1","0","0","0.5","0.5","1","0.75","1"
"10","0","0","0","0.5","0.5","1","0.75","1"
"11","1","0","0","0.5","0.5","1","0.75","1"
"12","1","0","0","0.65","0.5","1","0.75","1"
"13","0","0","0","1","0.5","1","0.75","1"
"14","0","0","0","0.85","0.5","1","0.75","1"
"15","0","0","0","1","0.5","1","0.75","1"
"16","0","0","0","0.85","0.5","1","0.5","1"
"17","1","0","0","0.5","0.5","1","0.75","1"
"18","0","0","0","0.5","0.5","1","0.75","1"
"19","0","0","0","0.6","0.5","1","0.75","1"
"20","0","0","0","1","0.5","1","0.75","1"
"21","0","0","0","0.4","0.5","1","0.75","1"
"22","0","0","0","1","0.5","1","0.75","1"
"23","0","0","0","0.9","0.5","1","0.75","1"
"24","0","0","0","1","0.5","1","0.75","1"
"25","0","0","0","1","0.5","1","0.75","1"
"26","1","0","0","0.65","0.85","1","0.75","1"
"27","0","0","0","1","0.5","1","0.75","1"
"28","0","0","0","0.5","0.5","1","0.75","1"
"29","0","0","0","0.85","0.5","1","0.75","1"
"30","1","0","0","0.65","0.5","1","0.75","1"
"31","0","0","0","1","0.5","1","0.75","1"
"32","1","0","0","0.5","0.5","1","0.75","1"
"33","0","0","0","1","0.5","1","0.75","1"
"34","1","0","0","0","0.5","1","0.75","1"
"35","0","0","0","1","0.5","1","0.75","1"
"36","0","0","0","0.6","0.5","1","0.75","1"
"37","0","0","0","1","0.5","1","0.75","1"
"38","0","0","0","0.75","0.5","1","0.75","1"
"39","0","0","0","1","0.5","1","0.75","1"
"40","0","0","0","0.65","0.5","1","0.75","1"
"41","1","0","0","0.85","0.5","1","0.75","1"
"42","0","0","0","1","0.5","1","0.75","1"
"43","0","0","0","1","0.5","1","0.75","1"
"44","0","0","0","0.6","0.5","1","0.75","1"
"45","0","0","0","1","0.5","1","0.75","1"
"46","0","0","0","0.6","0.5","1","0.75","1"
"47","0","0","0","0.6","0.5","1","0.75","1"
"48","0","0","0","0.6","0.5","1","0.75","1"
"49","0","0","0","0.6","0.5","1","0.75","1"
"50","0","0","0","0.6","0.5","1","0.75","1"
"51","0","0","0","0.5","0.5","1","0.75","1"
"52","0","0","0","1","0.5","1","0.75","1"
"53","0","0","0","1","0.5","1","0.75","1"
"54","0","0","0","0.85","0.5","1","0.75","1"
"55","0","0","0","1","0.5","1","0.75","1"
"56","0","0","0","0.6","0.5","1","0.75","1"
"57","0","0","0","0.6","0.5","1","0.75","1"
"58","1","0","0","0","0.5","1","0.75","1"
"59","0","0","0","0.6","0.5","1","0.75","1"
"60","0","0","0","0.6","0.5","1","0.75","1"
"61","0","0","0","0.6","0.5","1","0.75","1"
"62","1","0","0","0.5","0.5","1","0.75","1"
"63","0","0","0","1","0.5","1","0.75","1"
"64","0","0","0","0.5","0.5","1","0.75","1"
"65","0","0","0","0.5","0.5","1","0.75","1"
"66","0","0","0","1","0.5","1","0.75","1"
"67","1","0","0","0.85","0.5","1","0.75","1"
"68","0","0","0","0.5","0.5","1","0.75","1"
"69","0","0","0","0.5","0.5","1","0.75","1"
"70","1","0","0","0.65","0.5","1","0.75","1"
"71","0","0","0","1","0.5","1","0.75","1"
"72","0","0","0","0.5","0.5","1","0.75","1"
"73","0","0","0","1","0.5","1","0.75","1"
"74","0","0","0","0.4","0.5","1","0.75","1"
"75","0","0","0","0.5","0.5","1","0.75","1"
"76","0","0","0","0.7","0.5","1","0.75","1"
"77","0","0","0","1","0.5","1","0.75","1"
"78","0","0","0","1","0.5","1","0.75","1"
"79","1","0","0","0.3","0.85","1","0.75","1"
"80","1","0","0","0.6","0.5","1","0.75","1"
"81","0","0","0","0.6","0.5","1","0.75","1"
"82","0","0","0","0.6","0.5","1","0.75","1"
"83","0","0","0","0.4","0.5","1","0.75","1"
"84","0","0","0","1","0.5","1","0.75","1"
"85","0","0","0","0.9","0.5","1","0.75","1"
"86","0","0","0","1","0.5","1","0.75","1"
"87","0","0","0","0.5","0.5","1","0.75","1"
"88","0","0","0","0.5","0.5","1","0.75","1"
"89","0","0","0","0.5","0.5","1","0.75","1"
"90","0","0","0","0.5","0.5","1","0.75","1"
"91","1","0","0","0.5","0.5","1","0.75","1"
"92","0","0","0","0.5","0.5","1","0.75","1"
"93","0","0","0","0.65","0.5","1","0.75","1"
"94","0","0","0","1","0.5","1","0.75","1"
"95","0","0","0","0","0","0","0","0"
"96","1","0","0","0.5","0.5","1","0.75","1"
"97","0","0","0","0.5","0.5","1","0.75","1"
"98","1","0","0","0.5","0.5","1","0.75","1"
"99","0","0","0","0.5","0.5","1","0.75","1"
"100","1","0","0","0.5","0.5","1","0.75","1"
"101","0","0","0","0.5","0.5","1","0.75","1"
"102","1","0","0","0.8","0.5","1","0.75","1"
"103","0","0","0","1","0.5","1","0.75","1"
"104","0","0","0","0.5","0.5","1","0.75","1"
"105","0","0","0","1","0.5","1","0.75","1"
"106","0","0","0","0.75","0.5","1","0.75","1"
"107","1","0","0","0.5","0.5","1","0.75","1"
"108","0","0","0","0.5","0.5","1","0.75","1"
"109","0","0","0","0.75","0.5","1","0.75","1"
"110","0","0","0","1","0.5","1","0.75","1"
"111","0","0","0","0.4","0.5","1","0.75","1"
"112","0","0","0","1","0.5","1","0.75","1"
"113","0","0","0","1","0.5","1","0.75","1"
"114","0","0","0","1","0.5","1","0.75","1"
"115","0","0","0","1","0.5","1","0.75","1"
"116","1","0","0","0.5","0.5","1","0.75","1"
"117","0","0","0","1","0.5","1","0.75","1"
