"ID,""Name"",""Flags"""
"1,""Environments\Stars\StratholmeSkybox.mdx"",""0"""
"2,""Environments\Stars\PortalWorldLegionSky.mdx"",""0"""
"3,""Environments\Stars\DeathClouds.mdx"",""0"""
"4,""Environments\Stars\Stars.mdx"",""0"""
"5,""Environments\Stars\CavernsOfTimeSky.mdx"",""0"""
"6,""Environments\Stars\DireMaulSkyBox.mdx"",""0"""
"7,""Environments\Stars\HellfireSkyBox.mdx"",""0"""
"8,""Environments\Stars\BoneWastesSkyBox.mdx"",""0"""
"9,""Environments\Stars\ShadowMoonSkyBox.mdx"",""0"""
"10,""Environments\Stars\NetherstormSkyBox.mdx"",""0"""
"11,""Environments\Stars\BladesEdgeSkyBox.mdx"",""0"""
"12,""Environments\Stars\NagrandSkyBox.mdx"",""1"""
"14,""Environments\Stars\BladesedgeForestSkyBox.mdx"",""0"""
"15,""Environments\Stars\BladesedgeNightElfSkyBox.mdx"",""0"""
"18,""Environments\Stars\ShadowmoonIllidan.mdx"",""0"""
"19,""Environments\Stars\DragonblightScarletSkyBox.mdx"",""2"""
"21,""ENVIRONMENTS\Stars\ZulDrakSkyB.mdx"",""1"""
"23,""ENVIRONMENTS\Stars\ColdarraSky.mdx"",""1"""
"25,""ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx"",""0"""
"26,""ENVIRONMENTS\Stars\Aurora.mdx"",""2"""
"27,""ENVIRONMENTS\Stars\IceCrownSky.mdx"",""0"""
"28,""ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx"",""0"""
"29,""ENVIRONMENTS\Stars\IceCrownDarkSky.mdx"",""1"""
"30,""ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx"",""0"""
"33,""ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx"",""0"""
"34,""ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx"",""0"""
"35,""ENVIRONMENTS\Stars\BladesedgeForestSkyBox.mdx"",""0"""
"36,""ENVIRONMENTS\Stars\IceCrownScourgeSky.mdx"",""0"""
"37,""ENVIRONMENTS\Stars\StormPeaks_SkyA.mdx"",""1"""
"38,""ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx"",""0"""
"39,""ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx"",""0"""
"40,""ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx"",""2"""
"41,""ENVIRONMENTS\Stars\IceCrownDarkSky.mdx"",""0"""
"42,""ENVIRONMENTS\Stars\IceCrownSunsetSky.mdx"",""0"""
"45,""ENVIRONMENTS\Stars\WintergraspSmokySky.mdx"",""1"""
"48,""ENVIRONMENTS\Stars\WintergraspSmokySky.mdx"",""0"""
"49,""ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx"",""0"""
"51,""ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx"",""0"""
"52,""ENVIRONMENTS\Stars\WintergraspSmokySky.mdx"",""1"""
"55,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"56,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"57,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"58,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"59,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"60,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"61,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"62,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"63,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"64,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"65,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"66,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
