"ID","Name","Flags","Type","SoundID","SpellID","MaxDarkenDepth","FogDarkenintensity","AmbDarkenintensity","DirDarkenintensity","LightID","ParticleScale","ParticleMovement","ParticleTexSlots","MaterialID","Texture_1","Texture_2","Texture_3","Texture_4","Texture_5","Texture_6","Color_1","Color_2","Float_1","Float_2","Float_3","Float_4","Float_5","Float_6","Float_7","Float_8","Float_9","Float_10","Float_11","Float_12","Float_13","Float_14","Float_15","Float_16","Float_17","Float_18","Int_1","Int_2","Int_3","Int_4"
"1","Water","15","0","1111","0","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"2","Ocean","15","1","1114","0","30","0.5","0.5","0.25","0","1","0","0","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1250","0","0"
"3","Magma","120","2","3072","0","0","0","0","0","7","4","1","1","2","XTextures\lava\lava.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Slime","322","3","3880","0","0","0","0","0","6","0","0","0","2","XTextures\slime\slime.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Slow Water","15","0","1112","0","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"6","Slow Ocean","15","1","1114","0","30","0.5","0.5","0.25","0","1","0","0","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1250","0","0"
"7","Slow Magma","120","2","3052","0","0","0","0","0","7","4","1","1","2","XTextures\lava\lava.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Slow Slime","322","3","3880","0","0","0","0","0","6","0","0","0","2","XTextures\slime\slime.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Fast Water","15","0","1113","0","0","0","0","0","0","1","0","0","1","XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"10","Fast Ocean","15","1","1114","0","30","0.5","0.5","0.25","0","1","0","0","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1250","0","0"
"11","Fast Magma","120","2","3052","0","0","0","0","0","7","4","1","1","2","XTextures\lava\lava.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Fast Slime","322","3","3880","0","0","0","0","0","6","0","0","0","2","XTextures\slime\slime.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","WMO Water","15","0","1111","0","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1250","0","0"
"14","WMO Ocean","527","1","1114","0","30","0.5","0.5","0.25","0","1","0","0","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","","0","0","0.25","180","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1250","0","0"
"15","Green Lava","120","2","3072","0","0","0","0","0","6","4","1","1","2","XTextures\LavaGreen\lavagreen.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","WMO Water - Interior","15","0","1111","0","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1250","0","0"
"19","WMO Magma","120","2","3072","0","0","0","0","0","7","4","1","1","2","XTextures\lava\lava.%d.blp","","","","","","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","WMO Slime","322","3","3880","0","0","0","0","0","6","0","0","0","2","XTextures\slime\slime.%d.blp","","","","","","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Naxxramas - Slime","322","3","3880","28801","0","0","0","0","6","0","0","0","2","XTextures\slime\slime.%d.blp","","","","","","0","0","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Coilfang Raid - Water","15","0","1111","37025","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"61","Hyjal Past - Water","15","0","1111","42201","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"81","Lake Wintergrasp - Water","15","0","1112","36444","0","0","0","0","0","1","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"100","Basic Procedural Water","15","1","1114","0","30","0.5","0.5","0","0","1","0","0","3","XTextures\procWater\basicReflectionMap.blp","XTextures\procWater\basicReflectionMap.blp","XTextures\procWater\basicWaterHeightTex_%d.blp","XTextures\procWater\basicWaterHeightTex_%d.blp","proceduralOceanDepthTex","XTextures\ocean\ocean_h.%d.blp","0","0","0.1","0.5","1.5","2","0","0","0","0","1","1","0","300","0.333","0.2","0.1","0.2","0.8","0.2","1","1250","1250","1250"
"121","CoA Black - Magma","120","2","3052","57634","0","0","0","0","7","4","1","1","2","XTextures\lava\lava.%d.blp","","","","","","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","Chamber Magma","120","2","3072","57634","0","0","0","0","7","4","1","1","2","XTextures\lava\lava.%d.blp","","","","","","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
