"ID","ModelName_1","ModelName_2","ModelTexture_1","ModelTexture_2","InventoryIcon_1","InventoryIcon_2","GeosetGroup_1","GeosetGroup_2","GeosetGroup_3","Flags","SpellVisualID","GroupSoundIndex","HelmetGeosetVis_1","HelmetGeosetVis_2","Texture_1","Texture_2","Texture_3","Texture_4","Texture_5","Texture_6","Texture_7","Texture_8","ItemVisual","ParticleColorID"
"100000","","","","","ICON_100000","","1","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100001","","","","","ICON_100001","","0","0","0","0","0","0","0","0","","","","","","","","","169","0"
"100002","","","","","ICON_100002","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100003","","","","","ICON_100003","","0","0","0","0","0","0","0","0","","","","","","","","","33","0"
"100004","","","","","ICON_100004","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100005","","","","","ICON_100005","","1","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100006","","","","","ICON_100006","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100007","","","","","ICON_100007","","0","0","0","0","0","0","365","365","","","","","","","","","0","0"
"100008","","","","","ICON_100008","","0","0","0","0","0","0","365","365","","","","","","","","","0","0"
"100009","","","","","ICON_100009","","1","0","0","2","0","0","0","0","","","","","","","","","0","0"
"100010","","","","","ICON_100010","","0","0","1","2","0","0","0","0","","","","","","","","","0","0"
"100011","","","","","ICON_100011","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100012","","","","","ICON_100012","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100013","","","","","ICON_100013","","0","0","0","0","0","0","0","0","","","","","","","","","32","0"
"100014","","","","","ICON_100014","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100015","","","","","ICON_100015","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100016","","","","","ICON_100016","","0","0","0","0","0","0","265","265","","","","","","","","","0","0"
"100017","","","","","ICON_100017","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100018","","","","","ICON_100018","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100019","","","","","ICON_100019","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100020","","","","","ICON_100020","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100021","","","","","ICON_100021","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100022","","","","","ICON_100022","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100023","","","","","ICON_100023","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100024","","","","","ICON_100024","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100025","","","","","ICON_100025","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100026","","","","","ICON_100026","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100027","","","","","ICON_100027","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100028","","","","","ICON_100028","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100029","","","","","ICON_100029","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100030","","","","","ICON_100030","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100031","","","","","ICON_100031","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100032","","","","","ICON_100032","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100033","","","","","ICON_100033","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100034","","","","","ICON_100034","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100035","","","","","ICON_100035","","1","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100036","","","","","ICON_100036","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100037","","","","","ICON_100037","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
