"ID","ClassID","SubclassID","Sound_Override_Subclassid","Material","DisplayInfoID","InventoryType","SheatheType"
"45044","12","0","-1","1","100000","16","0"
"45475","2","6","-1","1","100001","17","2"
"46337","2","20","-1","2","100002","17","1"
"46338","2","5","-1","2","100003","13","3"
"46383","2","3","-1","1","100004","26","0"
"47058","4","1","-1","7","100005","16","0"
"47091","4","4","-1","6","100006","9","0"
"47163","12","0","-1","4","100007","1","0"
"47164","12","0","-1","4","100008","1","0"
"47165","12","0","-1","4","100009","20","0"
"47166","12","0","-1","4","100010","20","0"
"47169","4","2","-1","8","100011","6","0"
"47723","4","4","-1","6","100012","6","0"
"49048","2","5","-1","2","100013","17","1"
"49114","4","4","-1","1","100014","5","0"
"49142","12","0","-1","8","100015","1","0"
"49201","12","0","-1","7","100016","1","0"
"49241","4","1","-1","7","100017","5","0"
"49242","4","1","-1","7","100018","6","0"
"49243","4","1","-1","7","100019","7","0"
"49244","4","1","-1","7","100020","8","0"
"49245","4","1","-1","7","100021","9","0"
"49246","4","1","-1","7","100022","10","0"
"49247","4","2","-1","8","100023","6","0"
"49248","4","2","-1","8","100024","8","0"
"49249","4","2","-1","8","100025","9","0"
"49250","4","2","-1","8","100026","10","0"
"49251","4","2","-1","8","100027","7","0"
"49252","4","2","-1","8","100028","5","0"
"49255","15","0","-1","2","100029","24","0"
"49256","15","0","-1","2","100030","24","0"
"49257","2","16","-1","1","100031","25","0"
"49258","2","16","-1","1","100032","25","0"
"49259","4","3","-1","5","100033","5","0"
"49260","4","3","-1","5","100034","6","0"
"49261","4","3","-1","5","100035","8","0"
"49262","4","3","-1","5","100036","9","0"
"49263","4","3","-1","5","100037","10","0"
"49264","4","3","-1","5","100038","7","0"
"49265","4","1","-1","7","100039","6","0"
"49266","4","1","-1","7","100040","8","0"
"49267","4","1","-1","7","100041","9","0"
"49268","4","1","-1","7","100042","10","0"
"49269","4","1","-1","7","100043","7","0"
"49270","4","1","-1","7","100044","5","0"
"49271","4","2","-1","8","100045","6","0"
"49272","4","2","-1","8","100046","8","0"
"49273","4","2","-1","8","100047","9","0"
"49274","4","2","-1","8","100048","10","0"
"49275","4","2","-1","8","100049","5","0"
"49276","4","2","-1","8","100050","7","0"
"49371","2","5","-1","1","100051","17","1"
"49378","4","3","-1","5","100052","7","0"
"49379","4","1","-1","7","100052","7","0"
"49380","4","2","-1","8","100052","7","0"
"49381","4","1","-1","7","100053","6","0"
"49382","4","2","-1","8","100053","6","0"
"49383","4","3","-1","5","100053","6","0"
"49384","4","1","-1","7","100054","9","0"
"49385","4","2","-1","8","100055","9","0"
"49386","4","3","-1","5","100056","9","0"
"49387","4","1","-1","7","100057","16","0"
"49388","4","1","-1","7","100058","5","0"
"49389","4","2","-1","8","100058","5","0"
"49390","4","3","-1","5","100058","5","0"
"49391","2","10","-1","2","100059","17","2"
"49392","2","18","-1","2","100060","26","5"
"49393","2","7","-1","1","100061","21","3"
"49394","2","4","-1","2","100062","21","3"
"49395","2","15","-1","1","100063","13","3"
"49396","2","8","-1","1","100064","17","1"
"49399","4","1","-1","7","100065","20","0"
"49400","4","1","-1","7","100066","7","0"
"49401","4","1","-1","7","100067","8","0"
"49402","4","0","-1","7","100068","4","0"
"49403","4","1","-1","7","100069","20","0"
"49404","4","1","-1","7","100070","7","0"
"49405","4","0","-1","7","100071","4","0"
"49406","4","1","-1","7","100067","8","0"
"49407","4","1","-1","7","100072","8","0"
"49408","4","1","-1","7","100073","20","0"
"49409","4","1","-1","7","100074","7","0"
"49410","4","0","-1","7","100075","4","0"
"49411","4","1","-1","7","100072","8","0"
"49412","4","1","-1","7","100074","7","0"
"49413","4","1","-1","7","100073","20","0"
"49414","4","0","-1","7","100075","4","0"
"49415","4","1","-1","7","100067","8","0"
"49416","4","1","-1","7","100066","7","0"
"49417","4","1","-1","7","100065","20","0"
"49418","4","0","-1","7","100068","4","0"
"49419","4","1","-1","7","100067","8","0"
"49420","4","1","-1","7","100070","7","0"
"49421","4","1","-1","7","100069","20","0"
"49422","4","0","-1","7","100071","4","0"
"49423","2","10","-1","2","100076","17","2"
"49427","4","1","-1","2","100058","5","0"
"49428","4","1","-1","2","100052","7","0"
"49429","4","1","-1","4","100053","6","0"
"49430","4","2","-1","4","100053","6","0"
"49431","4","2","-1","2","100052","7","0"
"49432","4","2","-1","2","100058","5","0"
"49433","4","3","-1","2","100058","5","0"
"49434","4","3","-1","2","100052","7","0"
"49435","4","3","-1","4","100053","6","0"
"49438","4","1","-1","7","100077","10","0"
"49439","4","1","-1","7","100078","9","0"
"49440","4","1","-1","7","100079","8","0"
"49441","4","1","-1","7","100080","20","0"
"49442","4","1","-1","7","100081","7","0"
"49443","4","1","-1","7","100082","6","0"
"49445","4","2","-1","8","100083","6","0"
"49446","4","2","-1","8","100084","5","0"
"49448","4","2","-1","8","100085","10","0"
"49449","4","2","-1","5","100086","7","0"
"49450","4","4","-1","6","100087","6","0"
"49455","2","3","-1","1","100088","26","1"
"49456","2","0","-1","1","100089","13","3"
"49457","2","8","-1","1","100090","17","1"
"49458","2","10","-1","2","100091","17","2"
"49462","2","3","-1","1","100092","26","0"
"49502","4","3","-1","5","100093","5","0"
"49503","4","3","-1","5","100094","7","0"
"49504","4","3","-1","5","100095","8","0"
"49505","4","1","-1","7","100096","20","0"
"49506","4","1","-1","7","100052","7","0"
"49507","4","1","-1","7","100058","5","0"
"49508","4","1","-1","7","100097","8","0"
"49509","4","1","-1","7","100098","6","0"
"49510","4","1","-1","7","100099","20","0"
"49511","4","1","-1","7","100058","5","0"
"49512","4","1","-1","7","100052","7","0"
"49513","4","1","-1","7","100100","6","0"
"49514","4","2","-1","7","100101","5","0"
"49515","4","2","-1","7","100102","7","0"
"49516","4","2","-1","7","100103","8","0"
"49517","4","2","-1","7","100104","20","0"
"49518","4","1","-1","8","100052","7","0"
"49519","4","2","-1","8","100058","5","0"
"49520","4","1","-1","7","100105","20","0"
"49521","4","1","-1","7","100052","7","0"
"49522","4","1","-1","7","100106","8","0"
"49523","4","1","-1","8","100058","5","0"
"49524","4","4","-1","6","100107","5","0"
"49526","4","1","-1","7","100058","5","0"
"49527","4","4","-1","6","100108","8","0"
"49528","4","4","-1","6","100109","7","0"
"49529","4","4","-1","7","100110","10","0"
"49530","4","1","-1","7","100111","6","0"
"49531","4","1","-1","7","100106","8","0"
"49534","4","2","-1","7","100100","6","0"
"49541","4","1","-1","7","100112","20","0"
"49542","4","1","-1","7","100113","8","0"
"49543","4","1","-1","7","100114","7","0"
"49544","4","1","-1","7","100115","6","0"
"49545","4","1","-1","7","100116","10","0"
"49546","4","1","-1","7","100117","9","0"
"49548","4","2","-1","8","100118","10","0"
"49549","4","2","-1","8","100119","5","0"
"49550","4","2","-1","8","100120","9","0"
"49551","4","2","-1","8","100121","6","0"
"49552","4","2","-1","8","100122","8","0"
"49553","4","4","-1","6","100123","6","0"
"49554","4","4","-1","6","100124","5","0"
"49555","4","3","-1","5","100125","8","0"
"49556","4","4","-1","6","100126","7","0"
"49557","4","4","-1","6","100116","10","0"
"49558","2","3","-1","1","100127","26","1"
"49559","2","10","-1","2","100128","17","2"
"49560","2","8","-1","1","100129","17","1"
"49561","2","4","-1","2","100130","13","3"
"49562","4","1","-1","7","100057","16","0"
"49563","4","2","-1","7","100131","5","0"
"49564","4","2","-1","7","100132","8","0"
"49565","4","2","-1","7","100133","10","0"
"49566","4","2","-1","7","100134","7","0"
"49567","4","0","-1","7","100071","4","0"
"49568","4","3","-1","5","100135","7","0"
"49569","4","3","-1","5","100136","8","0"
"49570","4","3","-1","5","100137","5","0"
"49571","4","3","-1","5","100138","10","0"
"49572","4","2","-1","7","100139","7","0"
"49573","4","2","-1","7","100140","10","0"
"49574","4","2","-1","7","100119","5","0"
"49575","4","2","-1","7","100141","8","0"
"49576","4","4","-1","6","100142","7","0"
"49577","4","4","-1","6","100143","6","0"
"49578","4","4","-1","6","100144","5","0"
"49579","4","4","-1","6","100145","8","0"
"49580","4","3","-1","7","100142","7","0"
"49581","4","3","-1","7","100144","5","0"
"49582","4","2","-1","7","100145","8","0"
"49583","4","3","-1","7","100143","6","0"
"49584","4","2","-1","7","100135","7","0"
"49585","4","2","-1","7","100138","10","0"
"49586","4","2","-1","7","100137","5","0"
"49587","4","2","-1","7","100136","8","0"
"49588","4","2","-1","7","100139","7","0"
"49589","4","2","-1","7","100140","10","0"
"49590","4","2","-1","7","100119","5","0"
"49591","4","2","-1","7","100141","8","0"
"49592","4","2","-1","7","100132","8","0"
"49593","4","2","-1","7","100133","10","0"
"49594","4","2","-1","7","100134","7","0"
"49595","4","2","-1","7","100131","5","0"
"49598","2","4","-1","2","100146","13","0"
"49604","2","4","-1","2","100147","21","3"
"49605","2","15","-1","1","100148","13","3"
"49606","2","10","-1","2","100149","17","2"
"49607","2","8","-1","1","100150","17","1"
"49608","2","3","-1","1","100151","26","1"
"49609","2","0","-1","1","100152","13","3"
"49615","2","1","-1","1","100153","17","1"
"49616","2","0","-1","1","100154","13","3"
"49617","2","7","-1","4","100155","13","1"
"49618","2","7","-1","1","100156","13","7"
"49656","2","5","-1","2","100157","17","1"
"49657","2","5","-1","2","100158","17","1"
"49671","2","0","-1","2","100159","13","3"
"49672","2","1","-1","4","100160","13","5"
"49673","2","15","-1","1","100161","13","3"
"49694","2","8","-1","1","100162","13","3"
"49711","2","3","-1","1","100163","26","0"
"49712","2","4","-1","1","100164","13","3"
"49770","2","1","-1","1","100165","17","1"
"49781","2","0","-1","2","100166","13","3"
"49930","2","8","-1","1","100167","17","1"
"50126","2","4","-1","2","100168","17","1"
"50135","2","4","-1","2","100169","17","1"
"50136","2","4","-1","2","100170","17","1"
"50137","2","4","-1","2","100171","17","1"
"50138","2","15","-1","2","100172","17","1"
"50139","2","15","-1","2","100173","17","1"
"50140","2","15","-1","2","100174","17","1"
"50141","2","15","-1","2","100175","17","1"
"50142","2","15","-1","2","100176","17","1"
"50143","2","15","-1","2","100177","17","1"
"50144","2","15","-1","2","100178","17","1"
"50145","2","15","-1","2","100179","17","1"
"50146","2","15","-1","2","100180","17","1"
"50147","2","3","-1","1","100181","26","0"
"50148","2","3","-1","1","100182","26","0"
"50149","2","3","-1","1","100183","26","0"
"50150","2","3","-1","1","100184","26","0"
"50152","2","15","-1","2","100185","17","1"
"50153","2","15","-1","2","100186","17","1"
"50154","2","15","-1","2","100187","17","1"
"50155","2","15","-1","2","100188","17","1"
"50156","2","2","-1","1","100189","15","4"
"50157","2","2","-1","1","100190","15","4"
"50158","2","2","-1","1","100191","15","4"
"50159","2","2","-1","1","100192","15","4"
"50436","2","6","-1","1","100193","17","2"
"52052","2","3","-1","1","100194","26","0"
"52053","2","7","-1","1","100195","13","3"
"52054","2","5","-1","2","100196","17","1"
"52057","2","5","-1","2","100197","17","1"
"52060","2","1","-1","1","100198","17","1"
"52063","2","4","-1","1","100199","13","3"
"52071","2","15","-1","1","100200","13","3"
"52278","2","4","-1","1","100201","13","3"
"52343","2","10","-1","2","100202","17","2"
"52355","2","3","-1","1","100203","26","0"
"52485","4","0","-1","3","100204","1","0"
"52486","4","0","-1","3","100205","1","0"
"52487","4","0","-1","3","100206","1","0"
"52488","4","0","-1","4","100205","1","0"
"52489","4","5","-1","7","100008","1","0"
"52492","2","13","-1","8","100207","13","8"
"52493","2","13","-1","8","100208","13","8"
"52508","2","2","-1","2","100209","15","4"
"52509","2","2","-1","2","100210","15","4"
"52517","2","15","-1","1","100211","13","3"
"52518","4","6","-1","1","100212","14","4"
"52519","2","8","-1","1","100213","17","1"
"52520","2","0","-1","1","100214","13","1"
"52521","2","7","-1","1","100215","13","1"
"52523","2","10","-1","1","100216","17","2"
"52524","4","6","-1","1","100217","14","3"
"52525","4","6","-1","1","100218","14","4"
"52526","2","7","-1","1","100219","13","3"
"52527","2","7","-1","1","100220","13","3"
"52528","2","15","-1","1","100221","13","3"
"52529","2","10","-1","1","100222","17","2"
"52532","2","1","-1","1","100223","17","1"
"52533","4","4","-1","6","100224","8","0"
"52534","4","3","-1","5","100225","20","0"
"52535","4","3","-1","5","100226","7","0"
"52538","4","3","-1","5","100227","20","0"
"52539","4","3","-1","5","100228","7","0"
"52540","4","3","-1","5","100229","8","0"
"52542","2","6","6","4","100230","17","2"
"52543","4","1","-1","7","100231","20","0"
