"ID","MapID","LeftBoundary","RightBoundary","TopBoundary","BottomBoundary","ContinentOffsetX","ContinentOffsetY","Scale","TaxiMinX","TaxiMinY","TaxiMaxX","TaxiMaxY","WorldMapID"
"1","0","26","44","8","60","16.875","-1.5","0.7","-16530","-16530","12270","12270","1"
"2","1","16","46","9","52","-20.1875","3.3125","0.7","-11870","-13370","12470","10970","1"
"3","530","23","47","15","61","14.5","-7","0.75","-5867","-1600","6400","10670","0"
"4","571","16","45","12","33","1.8125","-6.375","0.7","-3733","-6933","11730","8533","1"
"5","870","16","45","18","41","0","0","0.7","-3664.38","-6762.44","6679.16","8752.86","1"
"6","2706","29","33","29","34","0","0","0.7","-670.834","-635.416","697.917","1416.667","1"
"7","646","26","35","25","34","0","0","0.7","-604.167","-2047.92","2795.83","3052.08","1"
"8","1451","26","35","25","34","0","0","0.7","-604.167","-2047.92","2795.83","3052.08","1"
"9","750","30","42","17","26","0","0","0.7","800","-7500","9850","1550","1"
"10","751","33","42","25","30","0","0","0.7","-4281","-6319","5488","3450","1"
