"ID","Importance","Icon_1","Icon_2","Icon_3","Icon_4","Icon_5","Icon_6","Icon_7","Icon_8","Icon_9","FactionID","X","Y","Z","ContinentID","Flags","AreaID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","WorldStateID","WorldMapLink"
"792","3","5","0","0","0","0","0","0","0","0","0","234","-2127","118","0","525","47","Aerie Peak","Aerie Peak","Nid-de-l'Aigle","Nistgipfel","","","Pico Nidal","Pico Nidal","Заоблачный пик","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1032","0","7","0","0","0","0","0","0","0","0","0","-4817","-2666","351","0","516","838","Algaz Station","Algaz Station","Poste d'Algaz","Station Algaz","","","Estación de Algaz","Estación de Algaz","Станция Альгаз","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"27","3","7","0","0","0","0","0","0","0","0","84","-6392","-3158","299","0","517","338","Angor Fortress","Angor Fortress","Forteresse d'Angor","Festung Angor","","","Fortaleza de Angor","Fortaleza de Angor","Крепость Ангор","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1","3","7","0","0","0","0","0","0","0","0","0","-6134","383","399","0","517","132","Anvilmar","Anvilmar","Courbenclume","Ambossar","","","Yunquemar","Yunquemar","Старая Наковальня","","","","","","","","16712191","","","","","","","","","","","","","","","","","16712188","0","0"
"1287","0","7","0","0","0","0","0","0","0","0","0","-10443","-2141","90","0","516","2697","Ariden's Camp","Ariden's Camp","Camp d'Ariden","Aridens Lager","","","Campamento de Ariden","Campamento de Ariden","Лагерь Аридена","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1128","0","7","0","0","0","0","0","0","0","0","0","-10349","-1538","92","0","0","42","Beggar's Haunt","Beggar's Haunt","Repaire des mendiants","Bettlerschlupfwinkel","","","Refugio de los Mendigos","Refugio de los Mendigos","Приют Бродяги","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"40","3","5","0","0","0","0","0","0","0","0","0","-14383","487","-29","0","525","35","Booty Bay","Booty Bay","Baie-du-Butin","Beutebucht","","","Bahía del Botín","Bahía del Botín","Пиратская Бухта","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1010","0","7","0","0","0","0","0","0","0","0","0","-1194","-2119","61","0","516","1858","Boulderfist Outpost","Boulderfist Outpost","Avant-poste Rochepoing","Außenposten der Felsfäuste","","","Avanzada Puño de Roca","Avanzada Puño de Roca","Аванпост Тяжелого Кулака","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"2","3","7","0","0","0","0","0","0","0","0","0","2249","278","34","0","517","159","Brill","Brill","Brill","Brill","","","Rémol","Rémol","Брилл","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1018","0","7","0","0","0","0","0","0","0","0","0","2483","-5183","76","0","516","2271","Browman Mill","Browman Mill","Scierie de Browman","Braumanns Mühle","","","Molino Cejifrente","Molino Cejifrente","Лесопилка Бровача","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
