"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderwater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask","FactionGroupMask","LiquidTypeID_1","LiquidTypeID_2","LiquidTypeID_3","LiquidTypeID_4","MinElevation","Ambient_Multiplier","Lightid"
"1","0","0","119","65","0","11","42","8","0","0","Dun Morogh","Dun Morogh","Dun Morogh","Dun Morogh","","","Dun Morogh","Dun Morogh","Дун Морог","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"2","0","40","120","1073741888","0","11","0","9","0","0","Longshore","Longshore","Longrivage","Die endlose Küste","","","Playa Larga","Playa Larga","Бескрайний берег","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"3","0","0","121","64","0","11","25","7","0","0","Badlands","Badlands","Terres ingrates","Ödland","","","Tierras Inhóspitas","Tierras Inhóspitas","Бесплодные земли","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"4","0","0","122","64","0","11","210","7","0","0","Blasted Lands","Blasted Lands","Terres foudroyées","Verwüstete Lande","","","Las Tierras Devastadas","Las Tierras Devastadas","Выжженные земли","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"7","0","33","123","1073741888","0","11","0","3","0","0","Blackwater Cove","Blackwater Cove","Crique des Flots noirs","Schwarzmeerbucht","","","Cala Aguasnegras","Cala Aguasnegras","Бухта Черноводья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"8","0","0","124","64","0","11","33","223","0","0","Swamp of Sorrows","Swamp of Sorrows","Marais des Chagrins","Sümpfe des Elends","","","Pantano de las Penas","Pantano de las Penas","Болото Печали","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"9","0","12","125","1076887552","0","11","35","1","0","0","Northshire Valley","Northshire Valley","Vallée de Comté-du-nord","Nordhaintal","","","Valle de Villanorte","Valle de Villanorte","Долина Североземья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"10","0","0","617","64","0","11","40","2","0","0","Duskwood","Duskwood","Bois de la Pénombre","Dämmerwald","","","Bosque del Ocaso","Bosque del Ocaso","Сумеречный лес","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"11","0","0","618","64","0","11","44","227","0","0","Wetlands","Wetlands","Les Paluns","Sumpfland","","","Los Humedales","Los Humedales","Болотина","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"12","0","0","126","64","0","11","35","1","0","0","Elwynn Forest","Elwynn Forest","Forêt d'Elwynn","Wald von Elwynn","","","Bosque de Elwynn","Bosque de Elwynn","Элвиннский лес","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
