"ID","Name","Flags"
"1","environments\Stars\StratholmeSkybox.mdx","0"
"2","environments\Stars\PortalWorldLegionSky.mdx","0"
"3","environments\Stars\DeathClouds.mdx","0"
"4","environments\Stars\Stars.mdx","0"
"5","environments\Stars\CavernsOfTimeSky.mdx","0"
"6","environments\Stars\DireMaulSkyBox.mdx","0"
"7","environments\Stars\HellfireSkyBox.mdx","0"
"8","environments\Stars\BoneWastesSkyBox.mdx","0"
"9","environments\Stars\ShadowMoonSkyBox.mdx","0"
"10","environments\Stars\NetherstormSkyBox.mdx","0"
"11","environments\Stars\BladesEdgeSkyBox.mdx","0"
"12","environments\Stars\NagrandSkyBox.mdx","1"
"14","environments\Stars\BladesedgeForestSkyBox.mdx","0"
"15","environments\Stars\BladesedgeNightElfSkyBox.mdx","0"
"18","environments\Stars\ShadowmoonIllidan.mdx","0"
"19","environments\Stars\DragonblightScarletSkyBox.mdx","2"
"21","environMENTS\Stars\ZulDrakSkyB.mdx","1"
"23","environMENTS\Stars\ColdarraSky.mdx","1"
"25","environMENTS\Stars\IceCrownCitadelSky.mdx","0"
"26","environMENTS\Stars\Aurora.mdx","2"
"27","environMENTS\Stars\IceCrownSky.mdx","0"
"28","environMENTS\Stars\IceCrownCitadelSky.mdx","0"
"29","environMENTS\Stars\IceCrownDarkSky.mdx","1"
"30","environMENTS\Stars\IceCrownCitadelSky.mdx","0"
"33","environMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"34","environMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"35","environMENTS\Stars\BladesedgeForestSkyBox.mdx","0"
"36","environMENTS\Stars\IceCrownScourgeSky.mdx","0"
"37","environMENTS\Stars\StormPeaks_SkyA.mdx","1"
"38","environMENTS\Stars\DeathKnightFireSkyBox.mdx","0"
"39","environMENTS\Stars\DeathKnightFireSkyBox.mdx","0"
"40","environMENTS\Stars\DeathKnightFireSkyBox.mdx","2"
"41","environMENTS\Stars\IceCrownDarkSky.mdx","0"
"42","environMENTS\Stars\IceCrownSunsetSky.mdx","0"
"45","environMENTS\Stars\WintergraspSmokySky.mdx","1"
"48","environMENTS\Stars\WintergraspSmokySky.mdx","0"
"49","environMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"51","environMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"52","environMENTS\Stars\WintergraspSmokySky.mdx","1"
"55","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"56","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"57","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"58","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"59","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"60","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"61","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"62","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"63","environMENTS\Stars\AuroraOrange.mdx","2"
"64","environMENTS\Stars\AuroraOrange.mdx","2"
"65","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"66","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"67","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"68","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"69","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"70","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"71","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"72","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"73","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"74","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"75","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"76","environMENTS\Stars\AuroraOrange.mdx","2"
"77","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"78","environMENTS\Stars\AuroraOrange.mdx","2"
"79","environMENTS\Stars\AuroraOrange.mdx","2"
