"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"0","Azeroth","0","0","0","Eastern Kingdoms","Eastern Kingdoms","Royaumes de l'est","Östliche Königreiche","","","Reinos del Este","Reinos del Este","Восточные королевства","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","4","1","-1","0","0","-1","0","0","0"
"1","Kalimdor","0","0","0","Kalimdor","Kalimdor","Kalimdor","Kalimdor","","","Kalimdor","Kalimdor","Калимдор","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","3","1","-1","0","0","-1","0","0","0"
"13","test","0","2","0","Testing","Testing","Test","Testing","","","Testing","Testing","Тестирование","","","","","","","","16712190","3817","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"25","ScottTest","0","2","0","Scott Test","Scott Test","Test de Scott","Scott Test","","","Scott Test","Scott Test","Тест Скотта","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"30","PVPZone01","3","0","1","Alterac Valley","Alterac Valley","Vallée d'Alterac","Alteractal","","","Valle de Alterac","Valle de Alterac","Альтеракская долина","","","","","","","","16712190","0","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

 The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

 The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","Cachée dans les montagnes d’Alterac, la vallée d’Alterac est le domaine des Loups-de-givre, le clan natal de Thrall.

Les nains Foudrepique, à la recherche de richesses et d’indices sur leur passé, y ont établi une tête de pont.

Les Loups-de-givre, très attachés à leur territoire, ne tolèrent pas cette intrusion. Ils ont levé une armée… une armée qui rêve de massacres perpétrés au nom d’une juste cause.","Verborgen im Alteracgebirge liegt das Alteractal, das Zuhause von Thralls Orcklan, den Frostwölfen.Die Zwerge des Sturmlanzenklans haben einen Stützpunkt im Tal errichtet und dringen auf der Suche nach Reichtümern und Hinweisen auf die Vergangenheit ihrer Vorfahren in die Tiefen des Tals vor.Die hier lebenden Frostwölfe, nicht willens, das Eindringen der Zwerge hinzunehmen, haben eine Armee aufgestellt... eine Armee, die nach einer Schlacht für die gerechte Sache giert.","","","Oculto entre las montañas de Alterac, el Valle de Alterac es el hogar del clan de orcos de Thrall, los Lobo Gélido.

Los enanos Pico Tormenta han construido un bastión en el valle e intentan hacerse con sus recursos, así como encontrar vínculos con su pasado.

Los territoriales Lobo Gélido, en su afán por expulsar al invasor enano, han formado un ejército sediento de sangre.","Oculto entre las montañas de Alterac, el Valle de Alterac es el hogar del clan de orcos de Thrall, los Lobo Gélido.

Los enanos Pico Tormenta han construido un bastión en el valle e intentan hacerse con sus recursos, así como encontrar vínculos con su pasado.

Los territoriales Lobo Gélido, en su afán por expulsar al invasor enano, han formado un ejército sediento de sangre.","Альтеракская долина, затерянная среди одноименных гор, служит домом орочьему клану Северного Волка, к которому принадлежит сам Тралл.

Дворфы Грозовой Вершины вторглись в эту долину в поисках подземных сокровищ и знаний о своем прошлом.

Не желая терпеть чужаков, орки собрали армию... армию, готовую к жестокой и праведной битве.","","","","","","","","16712190","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.

The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.

The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","Cachée dans les montagnes d’Alterac, la vallée d’Alterac est le domaine des Loups-de-givre, le clan natal de Thrall.

Les nains Foudrepique, à la recherche de richesses et d’indices sur leur passé, y ont établi une tête de pont.

Les Loups-de-givre, très attachés à leur territoire, ne tolèrent pas cette intrusion. Ils ont levé une armée… une armée qui rêve de massacres perpétrés au nom d’une juste cause.","Verborgen im Alteracgebirge liegt das Alteractal, das Zuhause von Thralls Orcklan, den Frostwölfen.Die Zwerge des Sturmlanzenklans haben einen Stützpunkt im Tal errichtet und dringen auf der Suche nach Reichtümern und Hinweisen auf die Vergangenheit ihrer Vorfahren in die Tiefen des Tals vor.Die hier lebenden Frostwölfe, nicht willens, das Eindringen der Zwerge hinzunehmen, haben eine Armee aufgestellt... eine Armee, die nach einer Schlacht für die gerechte Sache giert.","","","Oculto entre las montañas de Alterac, el Valle de Alterac es el hogar del clan de orcos de Thrall, los Lobo Gélido.

Los enanos Pico Tormenta han construido un bastión en el valle e intentan hacerse con sus recursos, así como encontrar vínculos con su pasado.

Los territoriales Lobo Gélido, en su afán por expulsar al invasor enano, han formado un ejército sediento de sangre.","Oculto entre las montañas de Alterac, el Valle de Alterac es el hogar del clan de orcos de Thrall, los Lobo Gélido.

Los enanos Pico Tormenta han construido un bastión en el valle e intentan hacerse con sus recursos, así como encontrar vínculos con su pasado.

Los territoriales Lobo Gélido, en su afán por expulsar al invasor enano, han formado un ejército sediento de sangre.","Альтеракская долина, затерянная среди одноименных гор, служит домом орочьему клану Северного Волка, к которому принадлежит сам Тралл.

Дворфы Грозовой Вершины вторглись в эту долину в поисках подземных сокровищ и знаний о своем прошлом.

Не желая терпеть чужаков, орки собрали армию... армию, готовую к жестокой и праведной битве.","","","","","","","","16712190","104","1","-1","0","0","-1","0","0","0"
"33","Shadowfang","1","0","0","Shadowfang Keep","Shadowfang Keep","Donjon d'Ombrecroc","Burg Schattenfang","","","Castillo de Colmillo Oscuro","Castillo de Colmillo Oscuro","Крепость Темного Клыка","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","204","1","0","-230","1571","-1","0","0","10"
"34","StormwindJail","1","0","0","Stormwind Stockade","Stormwind Stockade","Prison de Hurlevent","Verlies von Sturmwind","","","Mazmorras de Ventormenta","Mazmorras de Ventormenta","Тюрьма Штормграда","","","","","","","","16712190","717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","194","1","0","-8762","848","-1","0","0","10"
"35","StormwindPrison","0","0","0","<unused>StormwindPrison","<unused>StormwindPrison","<inutilisé>Prison de Hurlevent","Verlies von Sturmwind","","","<unused>VentormentaPrison","<unused>VentormentaPrison","<UNUSED> Тюрьма Штормграда","","","","","","","","16712190","717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","23","1","0","-8762","848","-1","0","0","0"
"36","DeadminesInstance","1","0","0","Deadmines","Deadmines","Mortemines","Todesminen","","","Minas de la Muerte","Minas de la Muerte","Мертвые копи","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","142","1","0","-11207","1681","-1","0","0","10"
"37","PVPZone02","0","0","1","Azshara Crater","Azshara Crater","Cratère d'Azshara","Krater von Azshara","","","Cráter de Azshara","Cráter de Azshara","Кратер Азшары","","","","","","","","16712190","0","Crush the Alliance!","Crush the Alliance!","Ecrasez l'Alliance !","Vernichtet die Allianz!","","","¡Destroza a la Alianza!","¡Destroza a la Alianza!","Сокрушите Альянс!","","","","","","","","16712190","Defend yourself from the onslaught of the Horde!","Defend yourself from the onslaught of the Horde!","Défendez-vous contre l'assaut de la Horde !","Verteidigt Euch gegen den Ansturm der Horde!","","","¡Defiéndete de la masacre horda!","¡Defiéndete de la masacre horda!","Отражайте нападение Орды!","","","","","","","","16712191","25","1","-1","0","0","-1","0","0","0"
