"ID","MapID","AreaID","PhaseShift","Icon","String_Lang_enUS","String_Lang_enGB","String_Lang_koKR","String_Lang_frFR","String_Lang_deDE","String_Lang_enCN","String_Lang_zhCN","String_Lang_enTW","String_Lang_zhTW","String_Lang_esES","String_Lang_esMX","String_Lang_ruRU","String_Lang_ptPT","String_Lang_ptBR","String_Lang_itIT","String_Lang_Unk","String_Lang_Mask","Tooltip_Lang_enUS","Tooltip_Lang_enGB","Tooltip_Lang_koKR","Tooltip_Lang_frFR","Tooltip_Lang_deDE","Tooltip_Lang_enCN","Tooltip_Lang_zhCN","Tooltip_Lang_enTW","Tooltip_Lang_zhTW","Tooltip_Lang_esES","Tooltip_Lang_esMX","Tooltip_Lang_ruRU","Tooltip_Lang_ptPT","Tooltip_Lang_ptBR","Tooltip_Lang_itIT","Tooltip_Lang_Unk","Tooltip_Lang_Mask","StateVariable","Type","DynamicIcon","DynamicTooltip_Lang_enUS","DynamicTooltip_Lang_enGB","DynamicTooltip_Lang_koKR","DynamicTooltip_Lang_frFR","DynamicTooltip_Lang_deDE","DynamicTooltip_Lang_enCN","DynamicTooltip_Lang_zhCN","DynamicTooltip_Lang_enTW","DynamicTooltip_Lang_zhTW","DynamicTooltip_Lang_esES","DynamicTooltip_Lang_esMX","DynamicTooltip_Lang_ruRU","DynamicTooltip_Lang_ptPT","DynamicTooltip_Lang_ptBR","DynamicTooltip_Lang_itIT","DynamicTooltip_Lang_Unk","DynamicTooltip_Lang_Mask","ExtendedUI","ExtendedUIStateVariable_1","ExtendedUIStateVariable_2","ExtendedUIStateVariable_3"
"220","0","0","64","Interface\WorldStateFrame\DreadLordIcon","The enemy controls the Undercity!","The enemy controls the Undercity!","L'ennemi contrôle Fossoyeuse !","Der Feind kontrolliert Unterstadt!","","","¡El enemigo controla Entrañas!","¡El enemigo controla Entrañas!","Враг захватил Подгород!","","","","","","","","16712190","Varimathras and Grand Apothecary Putress have taken over the Undercity!","Varimathras and Grand Apothecary Putress have taken over the Undercity!","Varimathras et le grand apothicaire Putrescin se sont emparés de Fossoyeuse !","Varimathras und Großapotheker Putress haben Unterstadt erobert!","","","¡Varimathras y el Gran boticario Putress han tomado Entrañas!","¡Varimathras y el Gran boticario Putress han tomado Entrañas!","Вариматас и верховный аптекарь Гнилесс захватили Подгород!","","","","","","","","16712190","3878","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"233","0","0","128","Interface\WorldStateFrame\SkullBones","The enemy controls the Undercity!","The enemy controls the Undercity!","L'ennemi contrôle Fossoyeuse !","Der Feind kontrolliert Unterstadt!","","","¡El enemigo controla Entrañas!","¡El enemigo controla Entrañas!","Враг захватил Подгород!","","","","","","","","16712190","Grand Apothecary Putress and Varimathras have taken over the Undercity!","Grand Apothecary Putress and Varimathras have taken over the Undercity!","Le grand apothicaire Putrescin et Varimathras se sont emparés de Fossoyeuse !","Varimathras und Großapotheker Putress haben Unterstadt erobert!","","","¡El gran boticario Putress y Varimathras han tomado Entrañas!","¡El gran boticario Putress y Varimathras han tomado Entrañas!","Верховный аптекарь Гнилесс и Вариматас захватили Подгород!","","","","","","","","16712190","3963","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"260","0","0","256","Interface\TargetingFrame\UI-PVP-Alliance","Operation Gnomeregan is in progress.","Operation Gnomeregan is in progress.","L'opération Gnomeregan est en cours.","Operation Gnomeregan schreitet voran.","","","Operación Gnomeregan en curso.","Operación Gnomeregan en curso.","Проводится операция ""Гномреган""","","","","","","","","16712190","Operation Gnomeregan is in progress.","Operation Gnomeregan is in progress.","L'opération Gnomeregan est en cours.","Operation Gnomeregan schreitet voran.","","","Operación Gnomeregan en curso.","Operación Gnomeregan en curso.","Проводится операция ""Гномреган""","","","","","","","","16712190","4981","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"264","0","0","256","Interface\TargetingFrame\UI-PVP-Alliance","The Gnomes control the airfield!","The Gnomes control the airfield!","Les gnomes contrôlent l'aérodrome !","Die Gnome kontrollieren den Flugplatz!","","","¡Los gnomos controlan la base aérea!","¡Los gnomos controlan la base aérea!","Гномы взяли под контроль аэродром!","","","","","","","","16712190","The Gnomes control the airfield!","The Gnomes control the airfield!","Les gnomes contrôlent l'aérodrome !","Die Gnome kontrollieren den Flugplatz!","","","¡Los gnomos controlan la base aérea!","¡Los gnomos controlan la base aérea!","Гномы взяли под контроль аэродром!","","","","","","","","16712190","5044","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"266","0","0","256","Interface\TargetingFrame\UI-PVP-Alliance","The Gnomes control the airfield and command post.","The Gnomes control the airfield and command post.","Les gnomes contrôlent l'aérodrome et le poste de commandement.","Die Gnome kontrollieren den Flugplatz und den Kommandoposten.","","","Los gnomos controlan la base aérea y el puesto de mando.","Los gnomos controlan la base aérea y el puesto de mando.","Гномы взяли под контроль аэродром и командный пост.","","","","","","","","16712190","The Gnomes have secured the airfield and the surface command post.","The Gnomes have secured the airfield and the surface command post.","Les gnomes ont sécurisé l'aérodrome et le poste de commandement de la surface.","Die Gnome haben den Flugplatz und den Kommandoposten gesichert.","","","Los gnomos han asegurado la base aérea y el puesto de mando de la superficie.","Los gnomos han asegurado la base aérea y el puesto de mando de la superficie.","Командный пост и аэродром теперь под контролем.","","","","","","","","16712190","5043","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"268","0","0","256","Interface\TargetingFrame\UI-PVP-Alliance","The Gnomes control the surface of Gnomeregan.","The Gnomes control the surface of Gnomeregan.","Les gnomes contrôlent la surface de Gnomeregan.","Die Gnome kontrollieren die Oberfläche von Gnomeregan.","","","Los gnomos controlan la superficie de Gnomeregan.","Los gnomos controlan la superficie de Gnomeregan.","Гномы контролируют наземную поверхность Гномрегана!","","","","","","","","16712190","The entrance to Gnomeregan, command post and airfield are secure.","The entrance to Gnomeregan, command post and airfield are secure.","L'entrée de Gnomeregan, l'aérodrome et le poste de commandement sont sécurisés.","Der Eingang nach Gnomeregan, der Flugplatz und der Kommandoposten sind gesichert.","","","La entrada a Gnomeregan, el puesto de mando y la base aérea están a salvo.","La entrada a Gnomeregan, el puesto de mando y la base aérea están a salvo.","Вход в Гномреган, командный пост и аэродром теперь под контролем.","","","","","","","","16712190","5045","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"270","0","0","256","Interface\TargetingFrame\UI-PVP-Alliance","The tunnels of Gnomeregan are secured.","The tunnels of Gnomeregan are secured.","Les tunnels de Gnomeregan sont sécurisés.","Die Tunnel Gnomeregans sind gesichert.","","","Los túneles de Gnomeregan están bajo control.","Los túneles de Gnomeregan están bajo control.","Тоннели Гномрегана безопасны.","","","","","","","","16712190","The tunnels of Gnomeregan are secured.","The tunnels of Gnomeregan are secured.","Les tunnels de Gnomeregan sont sécurisés.","Die Tunnel Gnomeregans sind gesichert.","","","Los túneles de Gnomeregan están bajo control.","Los túneles de Gnomeregan están bajo control.","Тоннели Гномрегана безопасны.","","","","","","","","16712190","5011","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"262","0","0","256","Interface\WorldStateFrame\CombatSwords","Assist the Gnomeregan forces at the engineering facilities.","Assist the Gnomeregan forces at the engineering facilities.","Aidez les troupes de Gnomeregan dans le complexe technique.","Unterstützt Gnomeregans Truppen bei den Ingenieurswerkstätten!","","","Ayuda a Gnomeregan en las instalaciones de ingeniería.","Ayuda a Gnomeregan en las instalaciones de ingeniería.","Помогите силам Гномрегана в районе инженерных мастерских.","","","","","","","","16712190","Assist the Gnomeregan forces at the engineering facilities.","Assist the Gnomeregan forces at the engineering facilities.","Aidez les troupes de Gnomeregan dans le complexe technique.","Unterstützt Gnomeregans Truppen bei den Ingenieurswerkstätten!","","","Ayuda a las fuerzas de Gnomeregan en las instalaciones de ingeniería.","Ayuda a las fuerzas de Gnomeregan en las instalaciones de ingeniería.","Помогите силам Гномрегана в районе инженерных мастерских.","","","","","","","","16712190","5018","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"263","0","0","256","Interface\WorldStateFrame\CombatSwords","The airfield is under attack.","The airfield is under attack.","L'aérodrome est attaqué.","Der Flugplatz wird angegriffen.","","","Están atacando la base aérea.","Están atacando la base aérea.","Аэродром подвергся нападению!","","","","","","","","16712190","Assist the Gnomeregan forces at the Airfield!","Assist the Gnomeregan forces at the Airfield!","Aider les troupes de Gnomeregan à l'aérodrome !","Unterstützt die Streitkräfte von Gnomeregan am Flugplatz!","","","¡Ayuda a las fuerzas de Gnomeregan en la base aérea!","¡Ayuda a las fuerzas de Gnomeregan en la base aérea!","Помогите силам Гномрегана на аэродроме!","","","","","","","","16712190","5039","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"267","0","0","256","Interface\WorldStateFrame\CombatSwords","The forces are battling over the entrance to Gnomeregan.","The forces are battling over the entrance to Gnomeregan.","Les troupes se battent pour l'entrée de Gnomeregan.","Die Streitkräfte kämpfen um den Eingang nach Gnomeregan.","","","Las fuerzas luchan por el control de la entrada de Gnomeregan.","Las fuerzas luchan por el control de la entrada de Gnomeregan.","У входа в Гномреган идет битва!","","","","","","","","16712190","Assist the Gnomeregan forces at the entrance to Gnomeregan.","Assist the Gnomeregan forces at the entrance to Gnomeregan.","Aider les troupes de Gnomeregan à l'entrée de Gnomeregan.","Unterstützt die Streitkräfte von Gnomeregan am Eingang nach Gnomeregan!","","","Ayuda a las fuerzas de Gnomeregan en la entrada de Gnomeregan.","Ayuda a las fuerzas de Gnomeregan en la entrada de Gnomeregan.","Помогите силам Гномрегана у входа в город!","","","","","","","","16712190","5019","0","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
