"ID","ModelName_1","ModelName_2","ModelTexture_1","ModelTexture_2","InventoryIcon_1","InventoryIcon_2","GeosetGroup_1","GeosetGroup_2","GeosetGroup_3","Flags","SpellVisualID","GroupSoundIndex","HelmetGeosetVis_1","HelmetGeosetVis_2","Texture_1","Texture_2","Texture_3","Texture_4","Texture_5","Texture_6","Texture_7","Texture_8","ItemVisual","ParticleColorID"
"65412","Sword_1H_Katana_B_01.mdx","","Sword_1H_Katana_B_01Green","","inv_jewelcrafting_blackpearlpanther","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"65434","","","","","inv_misc_food_meat_raw_07","","0","0","0","0","0","15","0","0","","","","","","","","","0","0"
"65509","Sword_1H_Katana_B_01.mdx","","Sword_1H_Katana_B_01Green","","inv_jewelcrafting_goldenboar","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"65527","Sword_1H_Katana_B_01.mdx","","Sword_1H_Katana_B_01Green","","inv_jewelcrafting_jadeowl","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"66098","","","","","inv_misc_clothscrap_02","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
"66107","","","","","item_pyriumore","","0","0","0","0","0","22","0","0","","","","","","","","","0","0"
"66138","","","","","inv_misc_fish_83","","0","0","0","0","0","15","0","0","","","","","","","","","0","0"
"66141","","","","","inv_misc_fish_81","","0","0","0","0","0","15","0","0","","","","","","","","","0","0"
"66144","","","","","inv_misc_fish_78","","0","0","0","0","0","15","0","0","","","","","","","","","0","0"
"67991","","","","","inv_misc_food_meat_raw_04","","0","0","0","0","0","15","0","0","","","","","","","","","0","0"
"69999","","","","","inv_misc_food_pinenut","","0","0","0","0","0","16","0","0","","","","","","","","","0","0"
"70111","","","","","inv_alchemy_imbuedvial","","0","0","0","0","0","17","0","0","","","","","","","","","0","0"
"70944","","","","","item_elementiumore","","0","0","0","0","0","22","0","0","","","","","","","","","0","0"
"73392","","","","","spell_nature_crystalball","","0","0","0","0","0","24","0","0","","","","","","","","","0","0"
"73401","","","","","inv_weapon_shortblade_17","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"73413","","","","","inv_misc_book_15","","0","0","0","0","0","20","0","0","","","","","","","","","0","0"
"75177","Sword_1H_Katana_B_01.mdx","","Sword_1H_Katana_B_01Green","","inv_jewelcrafting_purpleserpent","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"75178","Sword_1H_Katana_B_01.mdx","","Sword_1H_Katana_B_01Green","","spell_nature_earthelemental_totem","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"75238","","","","","inv_misc_archstone_01","","0","0","0","0","0","12","0","0","","","","","","","","","0","0"
"75397","","","","","inv_misc_herb_cinderbloom","","0","0","0","0","0","23","0","0","","","","","","","","","0","0"
"75401","","","","","inv_misc_herb_heartblossom","","0","0","0","0","0","23","0","0","","","","","","","","","0","0"
"76020","","","","","inv_drink_33_bloodredale","","0","0","0","0","0","17","0","0","","","","","","","","","0","0"
"76236","","","","","inv_misc_volatilefire","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
"76238","","","","","inv_misc_volatileair","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
"76241","","","","","inv_misc_volatileearth","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
"76242","","","","","inv_misc_volatilewater","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
"76324","","","","","achievement_guildperk_mobilebanking","","0","0","0","0","0","13","0","0","","","","","","","","","0","0"
"77114","","","","","spell_lifegivingseed","","0","0","0","0","0","23","0","0","","","","","","","","","0","0"
"79337","","","","","inv_misc_leather_shellfragment","","0","0","0","0","0","12","0","0","","","","","","","","","0","0"
"81272","","","","","inv_misc_emberweaveclothbolt_01","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
"92253","","","","","inv_misc_volatilelife_green","","0","0","0","0","0","7","0","0","","","","","","","","","0","0"
