item_id;name;ItemLevel;RequiredLevel;InventoryType;Quality
27002;Spojka Black Shirt;0;0;3;3
27007;Spojka Rich Purple Shirt;0;0;10;3
40483;Insignia of the Scourge;0;0;12;3
14389;Durability Shoulderpads;1;0;3;3
21524;Red Winter Hat;1;0;1;2
21525;Green Winter Hat;1;0;1;2
22206;Bouquet of Red Roses;1;0;23;2
23192;Tabard of the Scarlet Crusade;1;0;19;2
23705;Tabard of Flame;1;0;19;4
23709;Tabard of Frost;1;0;19;4
23716;Carved Ogre Idol;1;0;12;4
31404;Green Trophy Tabard of the Illidari;1;0;19;2
31405;Purple Trophy Tabard of the Illidari;1;0;19;2
33292;Hallowed Helm;1;0;1;3
35279;Tabard of Summer Skies;1;0;19;3
35280;Tabard of Summer Flames;1;0;19;3
36941;Competitor's Tabard;1;0;19;3
38309;Tabard of Nature;1;0;19;4
38310;Tabard of the Arcane;1;0;19;4
38311;Tabard of the Void;1;0;19;4
38312;Tabard of Brilliance;1;0;19;4
38313;Tabard of Fury;1;0;19;4
38314;Tabard of the Defender;1;0;19;4
40643;Tabard of the Achiever;1;0;19;4
43300;Loremaster's Colors;1;0;19;4
43348;Tabard of the Explorer;1;0;19;4
43349;Tabard of Brute Force;1;0;19;4
45037;Epic Purple Shirt;1;0;4;4
46349;Chef's Hat;1;0;1;3
46874;Argent Crusader's Tabard;1;0;19;3
49706;Monster - Frostmourne (Arthas Only Special);1;1;17;4
49715;Forever-Lovely Rose;1;0;1;3
50287;Boots of the Bay;1;0;8;3
50840;Monster - Frostmourne, Broken (Arthas Only Special);1;1;17;4
52019;Precious's Ribbon;1;0;4;2
53891;Monster - Shield, Zulaman (Blue);1;1;14;4
53924;Monster - Sword, Troll 1H;1;1;13;4
16604;Moon Robes of Elune;5;0;20;2
16605;Friar's Robes of the Light;5;0;20;2
16606;Juju Hex Robes;5;0;20;2
16607;Acolyte's Sacrificial Robes;5;0;20;2
23924;Robes of Silvermoon;5;0;20;2
23931;Azure Watch Robes;5;0;20;2
32912;Yellow Brewfest Stein;5;1;13;3
32915;Filled Yellow Brewfest Stein;5;1;13;3
32917;Filled Yellow Brewfest Stein;5;1;13;3
32918;Filled Yellow Brewfest Stein;5;1;13;3
32919;Filled Yellow Brewfest Stein;5;1;13;3
32920;Filled Yellow Brewfest Stein;5;1;13;3
33016;Blue Brewfest Stein;5;1;13;3
33017;Filled Blue Brewfest Stein;5;1;13;3
33018;Filled Blue Brewfest Stein;5;1;13;3
33019;Filled Blue Brewfest Stein;5;1;13;3
33020;Filled Blue Brewfest Stein;5;1;13;3
33021;Filled Blue Brewfest Stein;5;1;13;3
