item_id;name;ItemLevel;RequiredLevel;InventoryType;class;subclass
81100;Sanctified Scourgelord Pauldrons;510;80;3;4;4
81101;Sanctified Scourgelord Legguards;510;80;7;4;4
81102;Sanctified Scourgelord Faceguard;510;80;1;4;4
81103;Sanctified Scourgelord Handguards;510;80;10;4;4
81104;Sanctified Scourgelord Chestguard;510;80;5;4;4
81105;Sanctified Scourgelord Battleplate;510;80;5;4;4
81106;Sanctified Scourgelord Gauntlets;510;80;10;4;4
81107;Sanctified Scourgelord Helmet;510;80;1;4;4
81108;Sanctified Scourgelord Legplates;510;80;7;4;4
81110;Sanctified Lasherweave Robes;510;80;20;4;2
81111;Sanctified Lasherweave Gauntlets;510;80;10;4;2
81112;Sanctified Lasherweave Helmet;510;80;1;4;2
81113;Sanctified Lasherweave Legplates;510;80;7;4;2
81114;Sanctified Lasherweave Pauldrons;510;80;3;4;2
81115;Sanctified Lasherweave Shoulderpads;510;80;3;4;2
81116;Sanctified Lasherweave Legguards;510;80;7;4;2
81117;Sanctified Lasherweave Headguard;510;80;1;4;2
81118;Sanctified Lasherweave Handgrips;510;80;10;4;2
81119;Sanctified Lasherweave Raiment;510;80;20;4;2
81120;Sanctified Lasherweave Mantle;510;80;3;4;2
81121;Sanctified Lasherweave Trousers;510;80;7;4;2
81122;Sanctified Lasherweave Cover;510;80;1;4;2
81123;Sanctified Lasherweave Gloves;510;80;10;4;2
81124;Sanctified Lasherweave Vestment;510;80;20;4;2
81125;Sanctified Ahn'Kahar Blood Hunter's Handguards;510;80;10;4;3
81126;Sanctified Ahn'Kahar Blood Hunter's Headpiece;510;80;1;4;3
81127;Sanctified Ahn'Kahar Blood Hunter's Legguards;510;80;7;4;3
81128;Sanctified Ahn'Kahar Blood Hunter's Spaulders;510;80;3;4;3
81129;Sanctified Ahn'Kahar Blood Hunter's Tunic;510;80;5;4;3
81130;Sanctified Bloodmage Gloves;510;80;10;4;1
81131;Sanctified Bloodmage Hood;510;80;1;4;1
81132;Sanctified Bloodmage Leggings;510;80;7;4;1
81133;Sanctified Bloodmage Robe;510;80;20;4;1
81134;Sanctified Bloodmage Shoulderpads;510;80;3;4;1
81135;Sanctified Lightsworn Shoulderplates;510;80;3;4;4
81136;Sanctified Lightsworn Legplates;510;80;7;4;4
81137;Sanctified Lightsworn Helmet;510;80;1;4;4
81138;Sanctified Lightsworn Gauntlets;510;80;10;4;4
81139;Sanctified Lightsworn Battleplate;510;80;5;4;4
81140;Sanctified Lightsworn Shoulderguards;510;80;3;4;4
81141;Sanctified Lightsworn Legguards;510;80;7;4;4
81142;Sanctified Lightsworn Handguards;510;80;10;4;4
81143;Sanctified Lightsworn Faceguard;510;80;1;4;4
81144;Sanctified Lightsworn Chestguard;510;80;5;4;4
81145;Sanctified Lightsworn Spaulders;510;80;3;4;4
81146;Sanctified Lightsworn Tunic;510;80;5;4;4
81147;Sanctified Lightsworn Headpiece;510;80;1;4;4
81148;Sanctified Lightsworn Greaves;510;80;7;4;4
81149;Sanctified Lightsworn Gloves;510;80;10;4;4
81150;Sanctified Crimson Acolyte Pants;510;80;7;4;1
81151;Sanctified Crimson Acolyte Raiments;510;80;20;4;1
81152;Sanctified Crimson Acolyte Mantle;510;80;3;4;1
81153;Sanctified Crimson Acolyte Handwraps;510;80;10;4;1
81154;Sanctified Crimson Acolyte Cowl;510;80;1;4;1
81155;Sanctified Crimson Acolyte Gloves;510;80;10;4;1
81156;Sanctified Crimson Acolyte Hood;510;80;1;4;1
81157;Sanctified Crimson Acolyte Leggings;510;80;7;4;1
81158;Sanctified Crimson Acolyte Robe;510;80;20;4;1
81159;Sanctified Crimson Acolyte Shoulderpads;510;80;3;4;1
81160;Sanctified Shadowblade Breastplate;510;80;5;4;2
81161;Sanctified Shadowblade Gauntlets;510;80;10;4;2
81162;Sanctified Shadowblade Helmet;510;80;1;4;2
81163;Sanctified Shadowblade Legplates;510;80;7;4;2
81164;Sanctified Shadowblade Pauldrons;510;80;3;4;2
81165;Sanctified Frost Witch's Shoulderguards;510;80;3;4;3
81166;Sanctified Frost Witch's War-Kilt;510;80;7;4;3
81167;Sanctified Frost Witch's Faceguard;510;80;1;4;3
81168;Sanctified Frost Witch's Grips;510;80;10;4;3
81169;Sanctified Frost Witch's Chestguard;510;80;5;4;3
81170;Sanctified Frost Witch's Spaulders;510;80;3;4;3
81171;Sanctified Frost Witch's Legguards;510;80;7;4;3
81172;Sanctified Frost Witch's Headpiece;510;80;1;4;3
81173;Sanctified Frost Witch's Handguards;510;80;10;4;3
81174;Sanctified Frost Witch's Tunic;510;80;5;4;3
81175;Sanctified Frost Witch's Shoulderpads;510;80;3;4;3
81176;Sanctified Frost Witch's Kilt;510;80;7;4;3
81177;Sanctified Frost Witch's Helm;510;80;1;4;3
81178;Sanctified Frost Witch's Gloves;510;80;10;4;3
81179;Sanctified Frost Witch's Hauberk;510;80;5;4;3
81180;Sanctified Dark Coven Gloves;510;80;10;4;1
81181;Sanctified Dark Coven Hood;510;80;1;4;1
81182;Sanctified Dark Coven Leggings;510;80;7;4;1
81183;Sanctified Dark Coven Robe;510;80;20;4;1
81184;Sanctified Dark Coven Shoulderpads;510;80;3;4;1
81185;Sanctified Ymirjar Lord's Battleplate;510;80;5;4;4
81186;Sanctified Ymirjar Lord's Gauntlets;510;80;10;4;4
81187;Sanctified Ymirjar Lord's Helmet;510;80;1;4;4
81188;Sanctified Ymirjar Lord's Legplates;510;80;7;4;4
81189;Sanctified Ymirjar Lord's Shoulderplates;510;80;3;4;4
81190;Sanctified Ymirjar Lord's Breastplate;510;80;5;4;4
81191;Sanctified Ymirjar Lord's Greathelm;510;80;1;4;4
81192;Sanctified Ymirjar Lord's Handguards;510;80;10;4;4
81193;Sanctified Ymirjar Lord's Legguards;510;80;7;4;4
81194;Sanctified Ymirjar Lord's Pauldrons;510;80;3;4;4
91100;Cryptmaker;510;130;17;2;5
91101;Frozen Bonespike;510;130;21;2;15
91102;Lungbreaker;510;130;13;2;15
91103;Nightmare Ender;510;130;26;2;19
91104;Zod's Repeating Longbow;510;130;15;2;2
91105;Heartpierce;510;130;13;2;15
91106;Nibelung;510;130;17;2;10
91107;Scourgeborne Waraxe;510;130;13;2;0
91108;Bloodvenom Blade;510;130;13;2;7
91109;Rib Spreader;510;130;13;2;15
91110;Corpse-Impaling Spike;510;130;26;2;19
91111;Trauma;510;130;21;2;4
91112;Black Bruise;510;130;21;2;13
91113;Distant Land;510;130;17;2;10
91114;Rigormortis;510;130;21;2;7
91115;Last Word;510;130;13;2;4
91116;Bryntroll, the Bone Arbiter;510;130;17;2;1
91117;Keleseth's Seducer;510;130;22;2;13
91118;Dying Light;510;130;17;2;10
91119;Bloodfall;510;130;17;2;6
91120;Wrathful Gladiator's Sunderer;510;130;17;2;1
91121;Wrathful Gladiator's Crusher;510;130;17;2;5
91122;Wrathful Gladiator's Claymore;510;130;17;2;8
91123;Wrathful Gladiator's Recurve;510;130;15;2;2
91124;Wrathful Gladiator's Blade of Celerity;510;130;21;2;15
91125;Wrathful Gladiator's Mageblade;510;130;21;2;15
91126;Wrathful Gladiator's Combat Staff;510;130;17;2;10
91127;Wrathful Gladiator's Acute Staff;510;130;17;2;10
91128;Wrathful Gladiator's Skirmish Staff;510;130;17;2;10
91129;Wrathful Gladiator's Repeater;510;130;26;2;18
91130;Wrathful Gladiator's Greatstaff;510;130;17;2;10
91131;Wrathful Gladiator's Dicer;510;130;22;2;0
91132;Wrathful Gladiator's Dirk;510;130;22;2;15
91133;Wrathful Gladiator's Left Razor;510;130;22;2;13
91134;Wrathful Gladiator's Punisher;510;130;22;2;4
91135;Wrathful Gladiator's Swiftblade;510;130;22;2;7
91136;Wrathful Gladiator's Shotgun;510;130;26;2;3
91137;Wrathful Gladiator's Salvation;510;130;21;2;4
91138;Wrathful Gladiator's Light Staff;510;130;17;2;10
91139;Wrathful Gladiator's Halberd;510;130;17;2;6
91140;Wrathful Gladiator's Handaxe;510;130;13;2;0
91141;Wrathful Gladiator's Spike;510;130;13;2;15
91142;Wrathful Gladiator's Truncheon;510;130;13;2;4
91143;Wrathful Gladiator's Longblade;510;130;13;2;7
91144;Wrathful Gladiator's Grasp;510;130;21;2;13
91145;Wrathful Gladiator's Splitter;510;130;22;2;0
91146;Wrathful Gladiator's Eviscerator;510;130;22;2;15
91147;Wrathful Gladiator's Left Claw;510;130;22;2;13
91148;Shadowmourne;510;130;17;2;1
91149;Glorenzelg, High-Blade of the Silver Hand;510;130;17;2;8
