level;class;basehp0;basehp1;basehp2;basemana;basearmor;attackpower;rangedattackpower;damage_base;damage_exp1;damage_exp2;comment
1;1;42;1;1;0;8;9;1;0,1321;0,1321;0,1321;\N
2;1;55;1;1;0;20;11;1;0,2888;0,2888;0,2888;\N
3;1;71;1;1;0;33;13;1;0,5547;0,5547;0,5547;\N
4;1;86;1;1;0;68;15;1;0,9435;0,9435;0,9435;\N
5;1;102;1;1;0;111;18;1;1,3708;1,3708;1,3708;\N
6;1;120;1;1;0;165;20;1;2,0661;2,0661;2,0661;\N
7;1;137;1;1;0;230;24;1;2,7669;2,7669;2,7669;\N
8;1;156;1;1;0;306;28;1;3,1993;3,1993;3,1993;\N
9;1;176;1;1;0;387;31;1;3,7038;3,7038;3,7038;\N
10;1;198;1;1;0;463;34;1;4,1084;4,1084;4,1084;\N
11;1;222;1;1;0;528;38;1;4,6996;4,6996;4,6996;\N
12;1;247;1;1;0;562;42;1;5,4601;5,4601;5,4601;\N
13;1;273;1;1;0;596;46;1;5,9359;5,9359;5,9359;\N
14;1;300;1;1;0;630;50;1;6,5895;6,5895;6,5895;\N
15;1;328;1;1;0;665;54;2;7,1981;7,1981;7,1981;\N
16;1;356;1;1;0;700;56;2;7,6697;7,6697;7,6697;\N
17;1;386;1;1;0;734;60;2;8,2225;8,2225;8,2225;\N
18;1;417;1;1;0;768;64;3;8,5452;8,5452;8,5452;\N
19;1;449;1;1;0;802;68;3;8,9384;8,9384;8,9384;\N
20;1;484;1;1;0;836;70;4;9,6823;9,6823;9,6823;\N
21;1;521;1;1;0;872;74;4;9,9677;9,9677;9,9677;\N
22;1;562;1;1;0;906;78;4;10,4218;10,4218;10,4218;\N
23;1;605;1;1;0;940;80;5;10,8099;10,8099;10,8099;\N
24;1;651;1;1;0;975;84;6;11,2419;11,2419;11,2419;\N
25;1;699;1;1;0;1008;86;6;11,7485;11,7485;11,7485;\N
26;1;750;1;1;0;1043;90;7;12,0453;12,0453;12,0453;\N
27;1;800;1;1;0;1078;92;7;12,6213;12,6213;12,6213;\N
28;1;853;1;1;0;1111;96;8;12,795;12,795;12,795;\N
29;1;905;1;1;0;1145;100;8;13,3432;13,3432;13,3432;\N
30;1;955;1;1;0;1179;102;9;13,9264;13,9264;13,9264;\N
31;1;1006;1;1;0;1213;106;9;14,1954;14,1954;14,1954;\N
32;1;1057;1;1;0;1249;108;10;14,696;14,696;14,696;\N
33;1;1110;1;1;0;1281;112;10;14,9914;14,9914;14,9914;\N
34;1;1163;1;1;0;1317;114;11;15,4944;15,4944;15,4944;\N
35;1;1220;1;1;0;1349;118;11;15,8617;15,8617;15,8617;\N
36;1;1277;1;1;0;1456;120;12;16,2984;16,2984;16,2984;\N
37;1;1336;1;1;0;1568;124;12;16,7962;16,7962;16,7962;\N
38;1;1395;1;1;0;1684;128;13;17,1865;17,1865;17,1865;\N
39;1;1459;1;1;0;1808;132;13;17,7286;17,7286;17,7286;\N
40;1;1524;1;1;0;1938;136;14;18,2971;18,2971;18,2971;\N
41;1;1585;1;1;0;2074;142;15;19,1997;19,1997;19,1997;\N
42;1;1651;1;1;0;2218;152;15;20,3431;20,3431;20,3431;\N
43;1;1716;1;1;0;2369;162;16;21,7088;21,7088;21,7088;\N
44;1;1782;1;1;0;2528;174;16;23,5881;23,5881;23,5881;\N
45;1;1848;1;1;0;2695;184;17;24,6797;24,6797;24,6797;\N
46;1;1919;1;1;0;2750;188;17;25,1735;25,1735;25,1735;\N
47;1;1990;1;1;0;2804;192;18;25,7137;25,7137;25,7137;\N
48;1;2062;1;1;0;2857;196;19;26,209;26,209;26,209;\N
49;1;2138;1;1;0;2912;200;19;26,9952;26,9952;26,9952;\N
50;1;2215;1;1;0;2966;206;20;27,5899;27,5899;27,5899;\N
51;1;2292;1;1;0;3018;210;20;28,128;28,128;28,128;\N
52;1;2371;1;1;0;3060;214;21;28,8795;28,8795;28,8795;\N
53;1;2453;1;1;0;3128;218;22;29,4381;29,4381;29,4381;\N
54;1;2533;1;1;0;3180;224;22;30,0501;30,0501;30,0501;\N
55;1;2614;1;5228;0;3234;228;23;30,7177;30,7177;30,7177;\N
56;1;2699;1;5398;0;3289;234;23;31,2387;31,2387;31,2387;\N
57;1;2784;1;5568;0;3342;238;24;31,945;31,945;31,945;\N
58;1;2871;3989;5742;0;3396;242;25;32,5967;40,2143;40,2143;\N
59;1;2961;4142;1;0;3449;248;25;33,2007;43,2857;43,2857;\N
60;1;3052;4979;1;0;3750;252;26;33,9625;53,4755;53,4755;\N
61;1;3144;5158;1;0;4047;258;28;34,5714;61,2729;61,2729;\N
62;1;3237;5341;1;0;4344;262;30;35,2381;67,4442;67,4442;\N
63;1;3331;5527;1;0;4641;268;32;35,775;71,4361;71,4361;\N
64;1;3427;5715;1;0;4937;272;33;36,5714;75,9334;75,9334;\N
65;1;3524;5914;1;0;5234;278;35;37,2381;80,3794;80,3794;\N
66;1;3624;6116;1;0;5531;282;37;37,9047;84,8941;84,8941;\N
67;1;3728;6326;1;0;5829;288;39;38,5714;89,6211;94,901;\N
68;1;3834;6542;6986;0;6126;292;41;39,2381;94,4934;104,527;\N
69;1;3942;6761;7984;0;6423;298;43;39,9047;99,5328;114,153;\N
70;1;4050;6986;8982;0;6719;304;44;40,5714;104,527;123,779;\N
71;1;4163;7181;9291;0;7018;308;48;41,2381;106,357;127,382;\N
72;1;4278;7380;9610;0;7318;314;53;41,9047;108,071;131,091;\N
73;1;4399;7588;9940;0;7618;320;58;42,5714;118,643;134,908;\N
74;1;4524;7804;10282;0;7918;354;63;43,2381;120,434;138,836;\N
75;1;4652;8025;10635;0;8219;392;68;43,9047;122,226;142,878;\N
76;1;4781;8247;11001;0;8520;432;74;44,5713;124,018;147,038;\N
77;1;4916;8480;11379;0;8822;478;81;45,2379;125,81;151,319;\N
78;1;5052;8715;11770;0;9124;528;88;45,9045;127,602;155,724;\N
79;1;5194;8960;12175;0;9426;582;95;46,5711;129,394;160,258;\N
80;1;5342;9215;12600;0;9729;642;103;47,2377;131,186;164,924;\N
81;1;5492;9474;13033;0;10033;708;112;47,9043;132,978;168,974;\N
82;1;5647;9741;13481;0;10356;782;121;48,5709;134,77;173,024;\N
83;1;5808;11570;13945;0;10673;805;135;49,2375;136,562;177,074;\N
84;1;5971;10300;14409;0;10990;828;149;49,9041;138,354;181,124;\N
85;1;6141;10554;14873;0;11307;851;163;50,5707;140,146;185,174;\N
86;1;6311;10809;15337;0;11624;874;177;51,2373;141,938;189,224;\N
87;1;6481;11076;15801;0;11941;897;191;51,9039;143,73;193,274;\N
88;1;6651;11343;16265;0;12258;920;205;52,5705;145,522;197,324;\N
89;1;6821;11610;16729;0;12575;943;219;53,2371;147,314;201,374;\N
90;1;6991;11877;17193;0;12892;966;233;53,9037;149,106;205,424;\N
91;1;7161;12144;17657;0;13209;989;247;54,5703;150,898;209,474;\N
