creature_entry;level;hp;mana;armor;str;agi;sta;inte;spi;min_dmg;max_dmg
1;1;42;1;20;22;20;22;20;20;0;0
1;2;55;1;21;23;21;23;20;20;0;0
1;3;71;1;46;24;21;24;20;21;0;0
1;4;86;1;82;25;22;25;21;21;0;0
1;5;102;1;126;26;23;25;21;21;0;0
1;6;120;1;180;27;24;26;21;22;0;0
1;7;137;1;245;28;24;27;21;22;0;0
1;8;156;1;322;29;25;28;22;22;0;0
1;9;176;1;412;30;26;29;22;23;0;0
1;10;198;1;518;31;26;30;22;23;0;0
1;11;222;1;545;32;27;34;22;24;0;0
1;12;247;1;580;33;28;38;23;25;0;0
1;13;273;1;615;34;30;42;23;25;0;0
1;14;300;1;650;35;31;46;23;27;0;0
1;15;328;1;685;37;32;51;24;28;0;0
1;16;356;1;721;38;33;55;25;29;0;0
1;17;386;1;756;40;34;59;25;30;0;0
1;18;417;1;791;42;36;63;25;30;0;0
1;19;449;1;826;44;37;67;26;32;0;0
1;20;484;1;861;45;39;72;27;33;0;0
1;21;521;1;897;47;39;76;27;34;0;0
1;22;562;1;932;49;40;80;27;35;0;0
1;23;605;1;967;50;42;84;28;36;0;0
1;24;651;1;1002;52;43;88;28;37;0;0
1;25;699;1;1037;53;45;94;29;39;0;0
1;26;750;1;1072;55;46;98;30;39;0;0
1;27;800;1;1108;56;47;102;30;40;0;0
1;28;853;1;1142;58;49;106;30;41;0;0
1;29;905;1;1177;60;50;110;31;42;0;0
1;30;955;1;1212;61;52;115;32;44;0;0
1;31;1006;1;1247;63;53;120;32;44;0;0
1;32;1057;1;1283;64;54;124;33;46;0;0
1;33;1110;1;1317;66;56;128;33;46;0;0
1;34;1163;1;1353;67;57;132;33;48;0;0
1;35;1220;1;1387;69;59;138;35;49;0;0
1;36;1277;1;1494;70;60;142;35;50;0;0
1;37;1336;1;1607;72;61;146;35;52;0;0
1;38;1395;1;1724;74;63;151;36;52;0;0
1;39;1459;1;1849;76;64;155;36;54;0;0
1;40;1524;1;1980;78;66;160;37;55;0;0
1;41;1585;1;2117;81;68;165;38;56;0;0
1;42;1651;1;2262;86;69;169;38;57;0;0
1;43;1716;1;2414;91;71;174;39;58;0;0
1;44;1782;1;2574;97;72;178;39;59;0;0
1;45;1848;1;2742;102;74;184;40;61;0;0
1;46;1919;1;2798;104;75;188;41;62;0;0
1;47;1990;1;2853;106;77;193;41;63;0;0
1;48;2062;1;2907;108;79;197;42;64;0;0
1;49;2138;1;2963;110;80;202;42;66;0;0
1;50;2215;1;3018;113;82;207;43;67;0;0
1;51;2292;1;3072;115;84;212;44;68;0;0
1;52;2371;1;3128;117;85;216;44;69;0;0
1;53;2453;1;3183;119;87;221;45;70;0;0
1;54;2533;1;3237;122;89;226;45;72;0;0
1;55;2614;1;3292;124;91;231;47;73;0;0
1;56;2699;1;3348;127;92;236;47;74;0;0
1;57;2784;1;3402;129;94;241;48;76;0;0
1;58;2871;1;3457;131;96;245;48;77;0;0
1;59;2961;1;3512;134;98;250;49;78;0;0
1;60;3052;1;3814;136;100;256;50;80;0;0
1;61;3144;1;4113;139;102;161;51;81;0;0
1;62;3237;1;4410;141;105;266;52;83;0;0
1;63;3331;1;4708;144;107;271;53;85;0;0
1;64;3425;1;5006;146;110;276;54;87;0;0
1;65;3524;1;5303;149;113;281;55;89;0;0
1;66;3624;1;5601;151;116;287;56;91;0;0
1;67;3728;1;5900;154;119;292;57;93;0;0
1;68;3834;1;6197;156;122;297;58;95;0;0
1;69;3941;1;6495;159;125;302;59;97;0;0
1;70;4051;1;6794;162;128;307;60;99;0;0
1;71;4162;1;7093;165;131;311;61;97;0;0
1;72;4273;1;7392;168;134;316;62;99;0;0
1;73;4384;1;7691;171;137;321;63;101;0;0
1;74;4495;1;7990;174;140;326;64;103;0;0
1;75;4606;1;8289;177;143;331;65;105;0;0
1;76;4717;1;8588;180;146;336;66;107;0;0
1;77;4828;1;8887;183;149;341;67;109;0;0
1;78;4939;1;9186;186;152;346;68;111;0;0
1;79;5050;1;9485;189;155;351;69;113;0;0
1;80;5161;1;9784;192;158;356;70;115;0;0
1;81;5272;1;10083;195;161;361;71;117;0;0
1;82;5383;1;10382;198;164;366;72;119;0;0
1;83;5494;1;10681;201;167;371;73;121;0;0
1;84;5605;1;10980;204;170;376;74;123;0;0
1;85;5716;2;11279;207;173;381;75;125;0;0
1;86;5827;2;11578;210;176;386;76;127;0;0
1;87;5938;2;11877;213;179;391;77;129;0;0
1;88;6049;2;12176;216;182;396;78;131;0;0
1;89;6160;2;12475;219;185;401;79;133;0;0
1;90;6271;2;12774;222;188;406;80;135;0;0
1;91;6382;2;13073;225;191;411;81;137;0;0
1;92;6493;2;13372;228;194;416;82;139;0;0
1;93;6604;2;13671;231;197;421;83;141;0;0
1;94;6715;2;13970;234;200;426;84;143;0;0
1;95;6826;3;14269;237;203;431;85;145;0;0
1;96;6937;3;14568;240;206;436;86;147;0;0
1;97;7048;3;14867;243;209;441;87;149;0;0
1;98;7159;3;15166;246;212;446;88;151;0;0
1;99;7270;3;15465;249;215;451;89;153;0;0
1;100;7381;3;15764;252;218;456;90;155;0;0
1;101;7492;3;16063;255;221;461;91;157;0;0
1;102;7603;3;16362;258;224;466;92;159;0;0
1;103;7714;3;16661;261;227;471;93;161;0;0
1;104;7825;3;16960;264;230;476;94;163;0;0
1;105;7936;4;17259;267;233;481;95;165;0;0
1;106;8047;4;17558;270;236;486;96;167;0;0
1;107;8158;4;17857;273;239;491;97;169;0;0
1;108;8269;4;18156;276;242;496;98;171;0;0
1;109;8380;4;18455;279;245;501;99;173;0;0
1;110;8491;4;18754;282;248;506;100;175;0;0
1;111;8602;4;19053;285;251;511;101;177;0;0
1;112;8713;4;19352;288;254;516;102;179;0;0
1;113;8824;4;19651;291;257;521;103;181;0;0
1;114;8935;4;19950;294;260;526;104;183;0;0
1;115;9046;5;20249;297;263;531;105;185;0;0
1;116;9157;5;20548;300;266;536;106;187;0;0
1;117;9268;5;20847;303;269;541;107;189;0;0
1;118;9379;5;21146;306;272;546;108;191;0;0
1;119;9490;5;21445;309;275;551;109;193;0;0
1;120;9601;5;21744;312;278;556;110;195;0;0
1;121;9712;5;22043;315;281;561;111;197;0;0
1;122;9823;5;22342;318;284;566;112;199;0;0
1;123;9934;5;22641;321;287;571;113;201;0;0
1;124;10045;5;22940;324;290;576;114;203;0;0
1;125;10156;6;23239;327;293;581;115;205;0;0
1;126;10267;6;23538;330;296;586;116;207;0;0
1;127;10378;6;23837;333;299;591;117;209;0;0
1;128;10489;6;24136;336;302;596;118;211;0;0
1;129;10600;6;24435;339;305;601;119;213;0;0
1;130;10711;6;24734;342;308;606;120;215;0;0
1;131;10822;6;25033;345;311;611;121;217;0;0
1;132;10933;6;25332;348;314;616;122;219;0;0
1;133;11044;6;25631;351;317;621;123;221;0;0
1;134;11155;6;25930;354;320;626;124;223;0;0
1;135;11266;7;26229;357;323;631;125;225;0;0
1;136;11377;7;26528;360;326;636;126;227;0;0
1;137;11488;7;26827;363;329;641;127;229;0;0
1;138;11599;7;27126;366;332;646;128;231;0;0
1;139;11710;7;27425;369;335;651;129;233;0;0
1;140;11821;7;27724;372;338;656;130;235;0;0
1;141;11932;7;28023;375;341;661;131;237;0;0
1;142;12043;7;28322;378;344;666;132;239;0;0
1;143;12154;7;28621;381;347;671;133;241;0;0
1;144;12265;7;28920;384;350;676;134;243;0;0
1;145;12376;8;29219;387;353;681;135;245;0;0
1;146;12487;8;29518;390;356;686;136;247;0;0
1;147;12598;8;29817;393;359;691;137;249;0;0
1;148;12709;8;30116;396;362;696;138;251;0;0
1;149;12820;8;30415;399;365;701;139;253;0;0
1;150;12931;8;30714;402;368;706;140;255;0;0
1;151;13042;8;31013;405;371;711;141;257;0;0
1;152;13153;8;31312;408;374;716;142;259;0;0
1;153;13264;8;31611;411;377;721;143;261;0;0
1;154;13375;8;31910;414;380;726;144;263;0;0
1;155;13486;9;32209;417;383;731;145;265;0;0
1;156;13597;9;32508;420;386;736;146;267;0;0
1;157;13708;9;32807;423;389;741;147;269;0;0
1;158;13819;9;33106;426;392;746;148;271;0;0
1;159;13930;9;33405;429;395;751;149;273;0;0
1;160;14041;9;33704;432;398;756;150;275;0;0
1;161;14152;9;34003;435;401;761;151;277;0;0
1;162;14263;9;34302;438;404;766;152;279;0;0
1;163;14374;9;34601;441;407;771;153;281;0;0
1;164;14485;9;34900;444;410;776;154;283;0;0
1;165;14596;10;35199;447;413;781;155;285;0;0
1;166;14707;10;35498;450;416;786;156;287;0;0
1;167;14818;10;35797;453;419;791;157;289;0;0
1;168;14929;10;36096;456;422;796;158;291;0;0
1;169;15040;10;36395;459;425;801;159;293;0;0
